CORSTORPHINE HOUSE,,,,,,,,,,,,
Grid ref,NT201728,Long,-3.280758,Lat,55.941581,,,,,,,
Station no,RR6068,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.22,2.42,1.33,4.33,2.90,1.05,3.19,1.15,3.28,3.04,,
February,3.17,1.34,0.99,4.41,2.50,1.65,1.05,1.43,1.18,1.32,,
March,1.86,1.93,1.07,4.77,1.57,2.95,2.39,2.70,3.75,4.91,,
April,1.88,1.46,1.43,1.16,2.51,1.65,0.91,1.34,2.06,2.64,,
May,1.46,2.08,2.94,1.72,3.27,0.74,5.25,3.65,2.08,2.08,,
June,3.70,2.35,2.54,1.33,1.89,0.71,1.17,2.64,1.16,2.03,,
July,3.74,0.88,2.92,4.06,1.47,2.12,1.53,2.81,3.71,3.37,,
August,2.93,3.60,1.61,3.19,4.67,3.09,5.43,3.91,2.04,1.89,,
September,2.06,1.19,1.46,2.04,1.88,2.11,0.62,1.11,2.93,2.51,,
October,4.28,1.76,1.25,6.64,0.85,2.19,6.12,9.28,1.23,4.61,,
November,5.15,3.08,0.91,1.53,1.13,3.77,3.74,1.30,1.76,1.16,,
December,4.59,3.11,2.13,1.32,3.12,1.47,1.50,3.57,0.75,3.68,,
Total,37.04,25.20,20.58,36.50,27.76,23.50,32.90,34.89,25.93,33.24,,
Calc annual,37.04,25.20,20.58,36.50,27.76,23.50,32.90,34.89,25.93,33.24,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
