EDINBURGH (CORSTORPHINE),,,,,,,,,,,,,,,,,,,,
Grid ref,NT194730,Long,-3.2920219,Lat,55.94326,Elevation,169,ft,,,,,,,,,,,,
Station no,5139/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,2.05,2.69,2.52,1.78,1.23,3.62,2.19,3.56,3.76,1.58,1.45,3.25,2.41,,,,,,,
February,1.47,0.26,1.55,0.08,1.72,2.58,3.31,0.57,1.75,1.09,2.71,1.36,1.42,,,,,,,
March,1.51,2.27,1.04,2.84,0.88,1.83,1.73,0.55,2.98,2.3,2.88,1.38,1.57,,,,,,,
April,2.08,1.87,1.81,4.33,3.28,1.22,1.14,0.15,1.56,2.12,1.2,1.64,0.85,,,,,,,
May,2.22,3.63,1.97,1.12,0.92,0.68,2.6,3.56,1.05,1.29,3.51,1.45,3.2,,,,,,,
June,4.5,1.1,1.37,2.72,2.12,1.1,1.24,2.85,1.1,0.43,0.63,0.91,2.17,,,,,,,
July,3.63,1.95,4.52,2.68,0.73,4.4,4.4,2.93,2.44,7.51,2.95,2.76,1.5,,,,,,,
August,5.3,0.32,1,3.17,1.53,1.36,5.69,1.18,1.07,0.73,3.03,2,,,,,,,,
September,1.51,2.23,2.09,1.59,2.7,2.8,1.67,2.21,1.91,2.43,0.89,2.37,,,,,,,,
October,1.32,6.02,2.22,2.98,6.38,1.4,4.3,4.69,2.35,2.89,3.3,2.37,,,,,,,,
November,4.15,1.71,1.31,0.96,4.11,2.15,0.25,3.76,3.5,3.56,1.53,0.61,,,,,,,,
December,0.97,4.76,0.68,2.66,1.26,2.5,2.38,2.17,1.09,2.52,0.63,1.4,,,,,,,,
Total,30.71,28.81,22.08,26.91,26.86,25.64,30.9,28.18,24.56,28.45,24.71,21.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Observer John Laughton lived at 10, Corstorphine Bank Drive, Corstorphine in 1928 directory",,,,,,,,,,,,,,,,,,,,
