SHEPTON-MALLET-PILTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST597408,Long,-2.577735,Lat,51.165017,Elevation,354,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,3.27,0.93,4.96,1.11,1.79,1.82,3.63,1.45,4.33,5.45,1.37,3.93,1.96,1.89,3.38,4.36,4.74,3.79,4.53,2.29,4.76,2.94,4.33,3.77,6.05,1.77,4.49,2.27,2.57,2.35,2.45,0.79,4.15,4.99,3.06,4.26,,,4.35,6.35,2.52,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,3.96,1.01,2.53,2.05,1.63,0.91,4.3,2.63,2.81,1.09,2.94,5.22,5.45,1.4,2,2.83,1.5,0.26,3.53,7.8,0.76,4.01,2.2,4.09,3,1.43,0.76,2.66,0.02,3.3,0.2,2.84,2.2,6.9,1.18,1.76,,,0.33,1.42,1.05,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.48,3.9,2.28,0.97,3.2,3.42,0.9,2.47,6.52,3.05,6.24,1.28,3.52,3.06,1.57,4.67,2.66,2.48,2.78,1.85,1.53,0.59,0.9,3.97,2.68,0.23,1.94,0.87,2.08,3.06,2.58,1.19,3.63,3.61,0.35,1.45,1.99,,1.89,1.02,0.45,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.74,2.62,1.38,4.97,2.67,2.81,2.83,2.82,0.27,3.27,1.65,1.4,1.6,2.15,2.47,2.72,5.22,1.3,2.96,2.98,3.12,2.61,3.21,2.01,1.37,0.82,2.48,2.9,2.98,1.5,2.23,4.7,2.4,2.18,0.19,3.32,2.01,,1.22,1.09,1.7,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,2.98,0.38,4.77,2.6,2.13,1.33,2.13,1.83,2.08,2.77,2.05,2.79,3.27,2,1.97,0.73,2.82,2.46,1.04,2.55,6.74,3.61,3.42,2.15,1.27,2.42,2.22,3.79,5.71,1.53,1.3,0.96,0.77,2.82,2.29,0.6,2.1,1.19,5.66,2.13,1.14,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.3,2.57,2.02,2.56,0.61,2.42,5.49,2.95,4.08,1.51,2.14,0.76,2.57,4.88,1.25,1.01,3.03,0.65,1.35,0.89,2.91,0.02,3.3,3.34,3.18,1.74,0.58,2.56,1.28,1.98,2.06,3.72,3.43,1.59,2.43,3.46,0.43,1.2,0.28,3.59,2.43,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,3.14,1.5,1.44,2.51,2.56,3.5,3.49,0.03,3.12,1.07,4.91,4.6,1.38,3.89,5.86,3.24,6.01,0.7,3.83,2.92,5.47,4.07,3.66,5.83,2.47,2.08,2.42,4.52,4.01,3.28,1.74,0.39,6.5,4.3,4.21,4.46,2.54,,1.95,2.64,2.91,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.78,5.57,2.42,4.03,4.72,3.04,4.78,1.41,8.27,1.54,3.32,3.75,5.5,8.83,3.08,4.28,1.97,2.11,4.47,4.26,6.06,5.35,2.86,4.12,2.8,3.98,3.58,5.13,1.37,1.13,4.6,2.05,0.76,1.61,4.21,3.83,0,7.04,4.28,4.15,2.05,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,2.03,1.75,0.87,0.67,3.1,3.89,0.15,1.28,0.93,3.41,1.94,1.47,3.4,2.81,6.59,1.47,1.82,1.85,2.62,3.73,3.39,4.5,1.76,6.74,1.05,0.29,2.92,1.52,4.18,1.97,2.79,5.25,3.48,3.95,2.59,1.02,1.56,0.9,1.96,2.2,2.08,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,2.93,1.51,6.27,5.86,2.77,6.04,4.88,3.1,4.7,2.86,2.58,4.57,7.4,5.3,2.03,2.37,2.73,1.19,2,6.16,6.15,3.16,4.22,2.46,5.75,5.22,3.46,0.78,6.65,2.94,3.83,5.37,2.97,3.86,3.36,3.35,2.83,1.49,3.21,3.71,4.92,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,2.87,3.89,4.15,3.78,1.33,1.2,4.55,3.07,2.17,3.3,4.29,2.22,4.29,1.62,2.42,2.98,1.78,2.2,1.76,2.59,3.62,2.67,6.94,3.95,3.97,7.44,4.28,3.62,2.84,0.72,1.39,7.25,3.63,2.15,4.78,4.56,5.53,1.93,1.22,2.38,6,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,2.71,1.67,2.49,5.39,3.83,4.74,5.93,8.4,5.52,2.61,7.1,6.72,4.44,0.68,4.39,6.96,2.56,2.26,3.91,3.91,4.72,3.71,0.65,3.58,3.52,6.2,3.5,1.27,1.72,0.75,7.86,5.53,2.46,2.28,3.21,3.51,0.86,1.83,3.96,2.31,2.92,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,31.19,27.3,35.58,36.5,30.34,35.12,43.06,31.44,44.8,31.93,40.53,38.71,44.78,38.51,37.01,37.62,36.84,21.25,34.78,41.93,49.23,37.24,37.45,46.01,37.11,33.62,32.63,31.89,35.41,24.51,33.03,40.04,36.38,40.24,31.86,35.58,,,30.31,32.99,30.17,28.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
