WEST-KIRBY-DEESIDE-NURSERY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ218863,Long,-3.1767077,Lat,53.367757,Elevation,45,ft.,,,,,,,,,,,,,
Station no,2805,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,1.75,1.77,2.07,2.34,4.07,1.31,4.15,2.59,2.62,1.6,1.55,1.5,4.34,,,,
February,,,,,0.55,4.62,2.37,1.03,2,0.87,0.36,2.43,0.11,3.02,0.29,2.32,2.22,,,,
March,,,,,0.61,1.14,0.84,2.72,1.18,0.06,3.94,0.34,1.7,2.11,1.74,0.75,1.6,,,,
April,,,,,1.59,1.38,0.64,1.32,0.86,0.75,3.06,2.48,2.7,0.83,1.63,2.13,0.85,,,,
May,,,,,5.8,2.15,2.95,1.3,1.82,1.28,1.05,2.21,3.89,1.63,2.05,1.75,1.25,,,,
June,,,,,2.02,0,0.92,3.36,4.67,1.36,1.63,5.21,0.61,1.57,1.44,4.01,3.87,,,,
July,,,,,3.4,2.11,4.04,4.1,1.29,3.03,4.75,1.84,3.83,1.37,1.49,1.93,3.22,,,,
August,,,,,5.95,2.66,2.9,5.96,3.03,2.28,4.55,5.52,1.27,2.14,3.21,1.35,1.38,,,,
September,,,,,3.17,4.16,3.88,5.27,1.29,1.97,3.53,3.1,2.36,0.68,2.64,5.71,3.12,,,,
October,,,,,3.6,3.55,2.69,2.24,3.43,3.81,3.7,1.61,5.76,3.92,4.31,4.17,1.57,,,,
November,,,,,1.62,3.16,3.78,3.36,3.14,4.92,4.09,4.06,2.3,1.32,2.4,3.53,2.6,,,,
December,,,,,3.31,2.13,1.03,1.31,1.95,4.36,3.89,1.46,1.31,0.72,4.01,3.25,3.42,,,,
Total,,,,,33.37,28.83,28.11,34.31,28.73,26,38.7,32.85,28.46,20.91,26.76,32.4,29.44,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is in West Kirby with the stated relationship to the church and station,,,,,,,,,,,,,,,,,,,,,
Altitudes match.,,,,,,,,,,,,,,,,,,,,,
Cannot locate the nursery,,,,,,,,,,,,,,,,,,,,,
