BLOXWORTH-HEATH-RESEARCH-NURSERY,,,,,,,,,,,,,,,,,,,,
Grid ref,SY876928,Long,-2.177074,Lat,50.734679,Elevation,105,ft,,,,,,,,,,,,
Station no,1595/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,6.17,1.06,0.75,3.56,2.41,0.96,1.95,3.81,5.18,3.24,4.14,5.03,3.62
February,,,,,,,,1.23,1.7,5.86,6.1,0.58,1.68,3.18,2.32,0.09,4.76,2.99,0.37,3.26
March,,,,,,,,1.42,1.37,1.74,3.82,2.62,0.67,4.4,1.76,0.77,2.96,1.69,4.07,3.45
April,,,,,,,,1.99,1.76,2.59,2.95,1.8,2.72,0.11,0.58,1.9,0.13,0.62,3.08,2.29
May,,,,,,,,2.33,2.44,1.47,2.67,2.55,2.69,2.08,4.14,0.82,2.52,2.52,1.22,1.64
June,,,,,,,,2.4,0.7,1.05,0.43,0.76,1.94,2.91,2.34,2.42,1.73,3.84,1.88,2.23
July,,,,,,,,1.28,0.41,5.11,1.33,0.91,2.67,2.91,2.45,3.42,3.99,2.02,2.05,4.17
August,,,,,,,0.47,3.99,1.11,3.76,5.13,2.33,2.06,3.02,0.64,3.75,2.77,3.05,2.12,5.49
September,,,,,,,1.34,2.94,4.61,4.21,4.09,4.75,3.33,3.6,1.46,5.91,3.28,5.87,0.17,5.84
October,,,,,,,1.46,2.67,7.66,1.47,1.26,4.63,4.54,3.04,4.68,1.66,3.11,3.69,3.63,9.3
November,,,,,,,2,2.3,4.53,6.36,9.83,3.85,2.26,7.01,3.67,1.04,2.4,3.21,4.26,6.28
December,,,,,,,2.96,5.64,2.06,2.43,3.24,3.23,0.88,3.49,5.83,6.66,3.11,4.99,8.55,4.16
Total,,,,,,,,34.36,29.41,36.8,44.41,30.42,26.4,37.7,33.68,33.62,34,38.63,36.43,51.73
,,,,,,,,,,,,,,,,,,,,
Large site NGR taken from CEDA although elevation a little too high,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1960 Apr 27th Inspection Satisfactory site,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Bloxworth Heath SRC_ID 7933,,,,,,,,,,,,,,,,,,,,
CEDA claims ran from 1946-1976,,,,,,,,,,,,,,,,,,,,
