"BLOXWORTH HEATH (RESEARCH NURSERY)",,,,,,,,,,,,
Grid ref,SY876928,Long,-2.177074,Lat,50.734679,,,,,,,
Station no,1595/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.56,2.41,0.96,1.95,3.81,5.18,3.24,4.14,5.03,3.62,,
February,6.10,0.58,1.68,3.18,2.32,0.09,4.76,2.99,0.37,3.26,,
March,3.82,2.62,0.67,4.40,1.76,0.77,2.96,1.69,4.07,3.45,,
April,2.95,1.80,2.72,0.11,0.58,1.90,0.13,0.62,3.08,2.29,,
May,2.67,2.55,2.69,2.08,4.14,0.82,2.52,2.52,1.22,1.64,,
June,0.43,0.76,1.94,2.91,2.34,2.42,1.73,3.84,1.88,2.23,,
July,1.33,0.91,2.67,2.91,2.45,3.42,3.99,2.02,2.05,4.17,,
August,5.13,2.33,2.06,3.02,0.64,3.75,2.77,3.05,2.12,5.49,,
September,4.09,4.75,3.33,3.60,1.46,5.91,3.28,5.87,0.17,5.84,,
October,1.26,4.63,4.54,3.04,4.68,1.66,3.11,3.69,3.63,9.30,,
November,9.83,3.85,2.26,7.01,3.67,1.04,2.40,3.21,4.26,6.28,,
December,3.24,3.23,0.88,3.49,5.83,6.66,3.11,4.99,8.55,4.16,,
Total,44.41,30.42,26.40,37.70,33.68,33.62,34.00,38.63,36.43,51.73,,
Calc annual,44.41,30.42,26.40,37.70,33.68,33.62,34.00,38.63,36.43,51.73,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,,
