WIGAN (GIDLOW SENIOR SCHOOL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD573068,Long,-2.646034,Lat,53.556077,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2994/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.31,3.38,3.19,4.65,5.38,2.42,1.5,3.64,4.03,4.29,2.67,4.48,2.42,7.71,1.23,1.87,3.37,,,3.11,2.73,5,1.99,3.81,,
February,,,,,3.19,2.06,4.81,1.09,3.57,2.38,3.84,1.49,2.32,1.32,3.73,4.48,0.55,2.07,1.47,4.51,2.96,,,3.25,2.53,0.65,2.73,6.07,0.49,
March,,,,,0.97,2.12,1.93,1,2,2.62,2.57,2.77,0.92,0.74,1.16,0.55,4.98,1.31,2.25,1.89,4.98,,,2.5,2.05,1.29,2.83,1.66,1.62,
April,,,,,2.39,1.25,2.46,0.42,2.42,2.38,1.38,1.6,1.85,2.16,2.05,1.07,3.07,1.2,1.64,3.51,2.44,,,0.64,2.16,2.58,0.71,1,2.41,
May,,,,,1.39,0.38,2.67,4.03,1.39,1.87,1.96,4.15,3.07,1.81,3.54,1.7,4.46,1.95,2.02,1.33,2.51,,,2.56,3.98,1.32,2.43,4.22,,
June,,,,,3.37,3.03,1.32,3.15,3.82,0.8,0.39,0.31,2.74,1.91,2.69,3.98,1.91,3.87,0.59,1.7,1.2,,,3.06,3.65,1.67,0.99,5.23,,
July,,,,,1.59,3.76,1.78,3.57,6.31,4.13,1.71,3.64,2.89,3.61,3.35,3.7,2.36,1.66,,2.66,2.31,,,5.14,0.87,5.84,5.68,3.37,3.49,
August,,,,,1.12,1.98,2.85,3.32,1.65,1.46,4.96,4.36,5.65,2.95,2.02,6.13,0.22,4.91,0.18,7.04,3.23,,,5.29,1.4,9.56,5.69,3.92,0.17,
September,,,,,5.47,4.92,1.5,1.69,0.82,3.3,1,2.39,4.79,4.99,1.87,5.64,3.08,2.18,1.11,5.43,3.93,,,3.81,3.86,3.2,5.6,4.06,0.19,
October,,,,,7.04,3.48,1.94,7.95,2.18,4.01,4.33,5.04,4.21,4.74,5.25,1.52,0.53,2.55,3.96,4.21,0.86,,,6.94,2.89,2.77,4.5,4.05,,
November,,,,,3.74,4.28,1.77,4.41,5.43,6.43,2.48,1.04,3.16,6.64,0.24,4.98,3.78,1.84,5.66,6.52,9.85,,,6.83,1.96,1.45,1.87,2.27,,
December,,,,,4.11,4.6,2.36,4.63,3.57,3.33,1.64,3.85,1.91,3.65,2.66,3.39,3.01,2.85,,3.1,8.37,,,5.02,4.94,2.94,3.59,3.45,,
Total,,,,,36.69,35.24,28.58,39.91,38.54,35.13,27.76,34.28,37.54,38.81,31.23,41.62,30.37,34.1,,43.77,46.01,,,48.15,33.02,38.27,38.61,43.11,,
