BOURNEMOUTH-EAST-AVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ077926,Long,-1.892259,Lat,50.732966,Elevation,143,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.36,3.93,2.16,2.36,2.27,2.48,0.93,5.51,6.03,3.46,6.16,3.91,4.66,3.81,7.34,2.36,1.81,3.92,3.13,5.49,0.8,0.8,3.25,2.14,1,1.66,3.2,4.75,2.71,4.06,3.54,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.39,0.93,2.06,0.09,4.02,0.06,2.93,3.05,5.97,0.79,1.6,3.8,3.57,0.31,1.02,0.45,1.88,3.04,1.78,1.19,1.14,4.97,6.18,0.67,1.39,3.3,1.8,0.12,3.95,3.07,0.38,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.15,1.02,1.32,1.71,3.32,2.85,0.89,3.5,3.58,0.3,1.19,3,3.93,3.24,1.02,0.36,0.83,1.35,7.06,1.01,1.42,1.25,3.88,2.87,0.56,4.15,1.27,0.96,2.65,1.67,3.63,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.03,2.35,2.47,2.74,1.48,1.83,3.33,1.61,2.33,0,2.22,1.3,2.22,1.93,0.88,1.79,0.96,2.66,2.21,1.75,1.72,2.81,3.23,1.94,2.14,0.2,0.6,2.16,0.26,0.76,2.33,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.02,2.02,3.35,3.47,1.65,0.86,0.96,0.71,3.51,1.61,1.81,1,2.17,3.89,3.1,0.52,2.23,4.33,1.7,2.07,1.66,1.98,2.91,2.44,2.61,3.39,4.1,0.49,1.84,2.2,0.83,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.54,0.4,2.7,2.37,1.01,1.02,3.5,1.52,0.35,1.21,2.3,0.24,1.75,0.42,1.11,1.77,2.48,4.61,1.94,2.24,0.32,1.27,0.58,1.07,2.27,3.05,2.76,2.72,1.43,4.4,1.83,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.49,1.66,4.13,3.51,1.7,0.06,0.44,4.02,2.42,2,4.57,3.52,2.08,2.12,2.28,3.06,1.11,1.05,0.75,1.28,0.38,4.85,1.38,0.75,3.2,3.36,0.24,3.8,2.79,1.78,2.07,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.26,3.11,3.27,0.8,1.27,3.62,3.02,0.18,2,1.5,2.56,0.05,3.83,3.51,1.91,2.76,2.4,3.83,0.47,3.59,0.96,2.5,4.4,2.45,1.78,3.27,1.05,3.21,2.79,3.03,2.66,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,0.37,2.98,1.54,3.28,2.93,1.94,3.46,3.42,2.56,1.43,2.68,1.87,1.11,2.83,2.9,2.24,2.7,3.99,1.45,2.5,4.66,3.34,3.52,4.47,2.71,3.48,1.66,4.97,2.99,4.98,0.34,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,4.11,2.37,0.58,5.93,1.91,1.48,5.65,1.44,5.94,3.42,5.97,4.94,0.97,4.53,4.59,5.03,3.24,1.51,1.5,2.09,7.32,0.96,1.46,4.32,3.03,2.89,5.14,2.13,2.47,3.39,3.6,8.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
