"BOURNEMOUTH (EAST AVENUE)",,,,,,,,,,,,
Grid ref,SZ077926,Long,-1.892259,Lat,50.732966,,,,,,,
Station no,615,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.25,2.14,1.00,1.66,3.20,4.75,2.71,4.06,3.54,3.43,,
February,6.18,0.67,1.39,3.30,1.80,0.12,3.95,3.07,0.38,2.76,,
March,3.88,2.87,0.56,4.15,1.27,0.96,2.65,1.67,3.63,1.97,,
April,3.23,1.94,2.14,0.20,0.60,2.16,0.26,0.76,2.33,1.90,,
May,2.91,2.44,2.61,3.39,4.10,0.49,1.84,2.20,0.83,1.90,,
June,0.58,1.07,2.27,3.05,2.76,2.72,1.43,4.40,1.83,2.60,,
July,1.38,0.75,3.20,3.36,0.24,3.80,2.79,1.78,2.07,4.13,,
August,4.40,2.45,1.78,3.27,1.05,3.21,2.79,3.03,2.66,3.68,,
September,3.52,4.47,2.71,3.48,1.66,4.97,2.99,4.98,0.34,4.76,,
October,1.46,4.32,3.03,2.89,5.14,2.13,2.47,3.39,3.60,8.45,,
November,9.87,4.56,2.03,5.27,2.85,1.00,2.18,3.15,4.13,5.62,,
December,2.75,2.96,0.80,2.59,5.23,4.93,2.65,4.29,7.29,4.69,,
Total,43.41,30.64,23.52,36.61,29.90,31.24,28.71,36.78,32.63,45.89,,
Calc annual,43.41,30.64,23.52,36.61,29.90,31.24,28.71,36.78,32.63,45.89,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
