SOUTHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP418620,Long,-1.389074,Lat,52.25459,Elevation,304,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.12,3.7,1.35,2.59,3.12,1.75,3.45,1.4,2.25,0.95,0.95,1.8,2.89,1.6,1.1,1.75,1,,,1.25,1,1,1.55,1.65,3.79,1.08,1.8,0.99,
February,,0.86,1.96,1.1,1.9,1.25,2.45,1.15,1.05,3.3,2.4,2.15,1.75,3.5,1.2,2.35,1.3,1.4,,,0.5,0.5,0.7,2.55,2.3,0.27,0.35,3.03,0.87,
March,,0.83,1.7,1.8,0.65,0.62,3.25,1.92,1.1,0.55,1.35,1.6,1.53,0.9,1.45,0.75,0.3,0.4,,,1,0.75,1.15,0.1,1.12,1.69,1.9,3.29,0.8,
April,,2.92,1.32,0.5,1.05,1.85,3.1,2.7,2.35,2.45,1.74,0.7,2.75,1.25,2.2,1.8,2.05,1.4,,,1,2,0.8,0.3,1.72,1.53,0.98,1.6,1.89,
May,,2.28,1.01,2.2,2.37,2.2,0.65,1.25,4.05,2.9,1.01,0.7,1.7,1.9,0.35,2.45,4.3,1.65,,,1.65,2.7,1.1,1.5,1.43,0.66,0.37,0.95,4.02,
June,,2.8,2.84,3.65,0.6,2.85,1.7,1.3,2.45,4.75,2.35,2.2,3.55,2.85,1.25,1.85,1.1,1.1,,,1.2,2.5,2.45,1.1,2.6,0.26,2.78,2.56,0.62,
July,,4.05,4.81,1.7,0.68,5.47,0.68,4.05,1.35,3.4,6.87,1.9,3.2,2.85,4.55,0.2,2.05,1.1,,,3.05,1.5,2.95,2.78,3.05,3.35,1.97,0.98,1.31,
August,,0.95,2.48,2.14,1.99,1.4,1.52,4.1,5.8,4.35,1.6,4.7,1,1.4,1,1.95,1.5,1,,,1.35,3.55,1.35,1.45,2.92,2.67,1.85,3.71,3.74,
September,,5.74,1.4,1.58,3.28,2.92,4.98,0.85,2.25,3.4,4.4,2.05,3.4,2.8,0.8,2.7,1.3,1.95,,,2.05,1.25,2.2,1.15,0.98,0.63,4.67,1.5,0.6,
October,,1.62,2.6,1.65,1.2,6.67,1.4,1.85,2.15,1,5,2.4,5.42,1.65,1.45,2.75,4,2.25,,,2.35,5.15,2.4,2,4.05,3.33,2.99,1.59,3.66,
November,,0.94,3.56,1.25,2.3,3.35,3.1,2.35,2.7,0.75,2,1.85,4.1,2.6,0.75,3.05,2.2,1.58,,,2.4,1.9,1.6,1.55,3.46,4.02,0.99,1.46,2.15,
December,,1.2,3.8,0.65,2.05,0.6,4.8,1.8,1.65,0.55,2.4,3.3,2.61,1,2.35,0.65,3.3,1.53,,,0.6,3,1.65,1.2,2.4,2.09,3.35,2.48,2.22,
Total,,25.31,31.18,19.57,20.66,32.3,29.38,26.77,28.3,29.65,32.07,24.5,32.81,25.59,18.95,21.6,25.15,16.36,,,18.4,25.8,19.35,17.23,27.68,24.29,23.28,24.95,22.87,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1870 total computed from Stirch Farm, Priors Norton, therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888 and 1889 records lost so total estimated - removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR: observer lived in Coventry St, Southam, 12 doors down from the Union Workhouse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
