WEST HARTLEPOOL (SECONDARY SCHOOL),,,,,,,,,,,,
Grid ref,NZ507336,Long,-1.214915,Lat,54.694892,,,,,,,
Station no,3525/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,2.57,1.98,3.01,1.39,,,,,
February,,,,1.88,2.01,1.29,1.97,,,,,
March,,,,1.33,1.17,0.85,1.01,,,,,
April,,,,0.19,0.85,1.45,0.38,,,,,
May,,,,2.32,1.37,0.47,2.10,,,,,
June,,,,1.81,2.54,3.59,2.36,,,,,
July,,,,1.74,1.25,2.56,3.37,,,,,
August,,,,4.53,0.89,6.87,2.65,,,,,
September,,,,1.88,1.41,1.95,3.03,,,,,
October,,,,4.03,1.35,1.11,1.82,,,,,
November,,,,3.29,2.17,1.30,1.30,,,,,
December,,,,2.08,2.49,1.62,0.86,,,,,
Total,,,,27.65,19.48,26.07,22.24,,,,,
Calc annual,0.00,0.00,0.00,27.65,19.48,26.07,22.24,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,,
