CHIPPING-NORTON-BUNGALOW (STONECROFTS) ,,,,,,,,,,
Grid ref ,SP315261 ,Long ,-1.5421,Lat ,51.9333,Elevation ,671,ft ,,
Station no ,1046,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January ,,,,,,,2.38,3.24,4.05,4.84
February ,,,,,,,3.69,3.25,0.07,2.93
March ,,,,,,,2.39,1.34,3.33,1.37
April ,,,,,,,0.41,0.81,3.26,0.98
May ,,,,,,,1.43,2.52,0.67,2.06
June ,,,,,,,1.52,4.67,0.85,2.27
July ,,,,,,,4.51,2.9,1.58,4.68
August ,,,,,,,4.03,2.81,1.35,2.93
September ,,,,,,,3.88,3.73,0.1,4.75
October ,,,,,,,1.73,2.56,2.59,5.55
November ,,,,,,,1.99,3.38,2.48,4.49
December ,,,,,,3.8,2.61,3.28,5.03,3.75
Total ,,,,,,,30.57,34.49,25.36,40.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1956 Nov - gauge moved mid-month ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Elevation for NGR from map,,,,,,,,,,
