"THRUSCROSS (LANE HEAD)",,,,,,,,,,,,
Grid ref,SE129588,Long,-1.804581,Lat,54.025038,,,,,,,
Station no,3336,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.09,3.59,1.58,3.37,2.25,4.60,4.24,3.16,3.37,6.73,,
February,2.88,0.88,3.50,2.94,2.26,2.13,3.62,6.18,0.49,3.42,,
March,3.90,2.75,1.28,2.34,2.05,2.34,3.64,2.82,2.61,2.98,,
April,2.17,1.74,3.42,0.91,1.20,2.75,0.77,0.94,4.14,3.05,,
May,4.17,1.76,1.93,4.17,3.86,1.95,1.91,5.32,1.15,1.37,,
June,1.51,3.26,1.86,3.67,3.40,3.36,1.63,5.77,1.55,1.34,,
July,2.24,2.34,5.14,3.84,1.38,5.72,4.47,4.90,2.79,7.58,,
August,5.48,6.09,4.63,8.29,0.94,9.15,5.30,3.91,0.70,3.69,,
September,3.13,5.26,3.07,4.73,2.20,5.45,5.46,4.89,0.33,3.09,,
October,1.53,4.61,2.34,6.64,2.52,2.62,4.59,3.84,4.63,6.30,,
November,8.52,2.20,4.67,7.27,2.28,1.46,2.43,1.28,4.94,7.22,,
December,6.06,3.44,2.57,6.43,6.28,4.48,3.72,6.34,7.64,5.47,,
Total,45.68,37.92,35.99,54.60,30.62,46.01,41.78,49.35,34.34,52.24,,
Calc annual,45.68,37.92,35.99,54.60,30.62,46.01,41.78,49.35,34.34,52.24,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
