"MUSSELBURGH LEVENHALL",,,,,,,,,,,,
Grid ref,NT360729,Long,-3.026278,Lat,55.944862,,,,,,,
Station no,RR4536,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.77,3.54,2.35,0.86,2.40,0.78,2.96,2.23,,
February,,,0.83,3.87,2.36,0.97,0.66,0.97,0.91,1.27,,
March,,,0.77,2.72,1.04,1.97,2.04,1.71,2.88,4.60,,
April,,,0.91,0.84,1.26,1.89,0.95,1.43,1.41,2.05,,
May,,,1.83,0.86,2.84,0.67,4.77,2.44,1.89,2.03,,
June,,,2.41,1.58,1.87,1.12,1.41,2.36,0.52,1.16,,
July,,,2.01,3.19,1.01,1.80,1.41,3.23,2.93,2.94,,
August,,,1.35,2.70,4.36,2.05,4.90,3.06,1.23,1.69,,
September,,,1.05,1.80,1.84,1.64,0.63,1.84,2.04,2.57,,
October,,,1.17,4.86,0.61,2.41,6.39,6.60,1.21,3.57,,
November,,,0.58,1.37,0.87,3.37,3.09,1.46,1.41,0.52,,
December,,,1.65,0.68,2.22,0.92,1.19,3.28,0.37,2.90,,
Total,,,15.33,28.01,22.63,19.67,29.84,29.16,19.76,27.53,,
Calc annual,0.00,0.00,15.33,28.01,22.63,19.67,29.84,29.16,19.76,27.53,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
