MUSSELBURGH LEVENHALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT360729,Long,-3.026278,Lat,55.944862,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,0.77,3.54,2.35,0.86,2.4,0.78,2.96,2.23,2.38,0.72,1.36,1.92,1.61,1.19,,2.29,2.25,2.21,2.14,,,,,,,,,,
February,,,0.83,3.87,2.36,0.97,0.66,0.97,0.91,1.27,2.87,1.81,1.55,0.8,1.34,1.8,,0.47,2.92,1.46,1.96,,,,,,,,,,
March,,,0.77,2.72,1.04,1.97,2.04,1.71,2.88,4.6,0.8,1.89,1.64,2.46,2.29,1.12,,0.95,0.77,1.52,1.51,,,,,,,,,,
April,,,0.91,0.84,1.26,1.89,0.95,1.43,1.41,2.05,3.41,1.17,0.22,1.46,0.82,0.9,,1.73,0.92,3.05,1.47,,,,,,,,,,
May,,,1.83,0.86,2.84,0.67,4.77,2.44,1.89,2.03,1.48,0.88,1.39,1.8,2.09,1.01,,1.8,3.08,0.95,2.73,,,,,,,,,,
June,,,2.41,1.58,1.87,1.12,1.41,2.36,0.52,1.16,0.83,2.46,5.01,1.4,2.66,1.41,,1.58,0.47,1.41,0.78,,,,,,,,,,
July,,,2.01,3.19,1.01,1.8,1.41,3.23,2.93,2.94,3.72,1.05,1.42,0.5,2.21,3.18,,1.32,4.5,0.72,,,,,,,,,,,
August,,,1.35,2.7,4.36,2.05,4.9,3.06,1.23,1.69,3.85,1.03,4.69,1.7,1.49,,,,1.47,1.8,,,,,,,,,,,
September,,,1.05,1.8,1.84,1.64,0.63,1.84,2.04,2.57,0.58,1.05,2.47,2.09,0.84,,,,3.37,2.2,,,,,,,,,,,
October,,,1.17,4.86,0.61,2.41,6.39,6.6,1.21,3.57,2.69,2.91,2.77,1.8,1.28,,,,2.27,2.48,,,,,,,,,,,
November,,,0.58,1.37,0.87,3.37,3.09,1.46,1.41,0.52,2.5,4.03,1.25,1.39,2.25,,,,1.32,4.67,,,,,,,,,,,
December,,,1.65,0.68,2.22,0.92,1.19,3.28,0.37,2.9,1.03,1.96,2.27,1.57,3.63,,,,1.16,2.68,,,,,,,,,,,
Total,,,15.33,28.01,22.63,19.67,29.84,29.16,19.76,27.53,26.14,20.96,26.04,18.89,22.51,,,,24.5,25.15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917 August-December and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
