CONAGLEN,,,,,,,,,,,,
Grid ref,NN025691,Long,-5.233569,Lat,56.771485,,,,,,,
Station no,5398,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,12.50,11.91,8.72,10.30,7.00,7.73,18.19,8.30,4.30,6.85,,
February,6.66,5.18,10.35,6.45,5.55,4.43,5.36,5.23,6.80,7.13,,
March,4.75,8.36,3.59,7.97,1.61,4.95,10.00,2.17,6.89,1.51,,
April,10.76,5.22,5.65,4.01,5.99,4.30,3.97,6.18,6.80,8.79,,
May,0.54,2.57,6.18,4.98,5.36,8.53,2.76,9.22,2.16,3.24,,
June,3.64,7.07,1.30,6.78,5.37,4.03,3.54,2.29,7.65,4.63,,
July,6.53,4.19,9.56,4.56,1.56,8.16,5.84,3.00,8.90,5.94,,
August,9.06,7.46,10.25,6.86,2.08,4.78,6.40,7.05,6.94,6.11,,
September,10.10,8.10,12.01,12.86,11.87,8.21,5.99,6.55,3.88,5.40,,
October,4.83,10.78,7.73,16.01,10.03,9.74,14.29,12.59,11.97,,,
November,9.91,4.91,20.02,14.02,4.24,9.77,3.71,3.45,11.78,,,
December,18.54,11.81,12.17,17.99,14.27,19.93,16.88,7.23,18.08,,,
Total,97.82,87.56,107.53,112.79,74.93,94.56,96.93,73.26,96.15,,,
Calc annual,97.82,87.56,107.53,112.79,74.93,94.56,96.93,73.26,96.15,49.60,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
