LOCH EIL CONAGLEN,,,,,,,,,,,,,,,,,,,,
Grid ref,NN025691,Long,-5.233569,Lat,56.771485,Elevation,30,ft,,,,,,,,,,,,
Station no,5398,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,13.49,14.92,15.72,7.67,8.1,12.92,8.96,11.3,21.41,14.05,14.22,5.17,14.31,1.24,,,18.79,
February,,,10.32,8.01,9.47,15.23,4.24,11.18,2.73,8.13,1.6,7.93,3.21,8.78,17.87,0.35,,,13.34,
March,,,15.86,2.49,6.7,4.8,5.72,4.26,5.62,6.95,9.33,7.48,2.87,5.45,11.63,3.91,,,6.4,
April,,,3.88,3.54,1.96,3.48,5.89,3.33,4.46,4.1,3.09,1.57,2.36,3.98,1.97,6.68,,,5.54,
May,,,3.96,6,6.91,5.1,4.43,1.78,5.78,3.13,2.86,2.25,8.47,2.92,5.46,2.29,,,3.57,
June,,,5.54,3.83,3.08,3.55,3.23,3.23,3.37,0.63,7.59,2.86,4.81,2.39,4.76,1.25,,,5.09,
July,,,8.52,2.43,6.78,5.01,5.35,7.53,4.78,1.53,8.01,3.42,6.02,6.3,6.47,6.02,,,2.61,
August,,,4.69,8.71,7.43,4.24,4.23,4.6,8.06,8.77,8.22,9.31,11.09,7.16,8.49,10.45,,,6.69,
September,,,9.69,3.92,9.14,13.07,10.87,5.46,3.37,4.2,7.68,16.3,17.92,10.92,0.3,7.31,,,10.23,
October,,,5.25,10.95,14.9,7.69,7.09,7.03,11.37,6.2,14.38,12.54,6.16,15.17,3.38,6.9,,,7.65,
November,,,11.36,17.87,15.99,7.12,12.06,7.56,12.25,6.13,12.89,8.03,11.75,8.17,15.5,12.98,,,10.88,
December,,,7.99,12.98,12.81,14.27,9.22,6.96,8.91,13.23,1.47,17.32,5.59,19.63,12.72,8.2,,,27.32,
Total,,,100.55,95.65,110.89,91.23,80.43,75.84,79.66,74.3,98.53,103.06,94.47,96.04,102.86,67.58,,,118.11,
,,,,,,,,,,,,,,,,,,,,
Station no,5398,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
