PARK NR GLASGOW,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 47570 69858,Long,-4.439379,Lat,55.89764,Elevation,60,ft,,,,,,,,,,,,
Station no,RR1385,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,4.7,3.1,4.35,4.65,1.08,0.6,7.6,2.48,7.1,,,,,,,,
February,,,,1.2,2.93,1.75,3.85,0.8,7.4,3.63,6.65,4.3,,,,,,,,
March,,,,1.55,3.62,2.8,4.15,0.9,2.53,1.17,1.55,4.85,,,,,,,,
April,,,,3.65,1.6,1.43,1.5,2.5,1.3,2.15,3.42,1.78,,,,,,,,
May,,,,3.2,0.1,1.32,2.83,3.12,1.9,3.18,2.2,0.2,,,,,,,,
June,,,,2.25,4.28,3.43,4.42,1.87,3.82,1.45,2.2,3,,,,,,,,
July,,,,3.43,3.95,2.75,4,3.45,3.33,3.9,2.2,3.02,,,,,,,,
August,,,,2.92,3.05,2.65,4.88,1.88,3.4,2.32,4.2,4.3,,,,,,,,
September,,,,1.35,1.7,3.85,2.77,3.12,1.87,2.25,2,0.55,,,,,,,,
October,,,,5.45,2.02,6.15,5.3,5.63,2.88,3.1,2.18,2.45,,,,,,,,
November,,,,4.9,3.65,6.37,4,4.82,6.1,5.9,6.25,1.38,,,,,,,,
December,,,,1.63,0.35,5.8,0.75,4.85,4,1.85,4.07,2.12,,,,,,,,
Total,,,,36.23,30.35,42.65,43.1,34.02,39.13,38.5,39.4,35.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
visible on 1842 map,,,,,,,,,,,,,,,,,,,,
