DUNFORD-BRIDGE-LONG-GRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE166019,Long,-1.7511427,Lat,53.513521,Elevation,1125,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3158/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.49,5.2,6.91,7.65,6.78,3.88,4.6,5.08,7.2,9.77,6.5,7.42,5.26,13.64,3.28,3.96,6.12,6.63,2.83,4.78,3.71,7.58,4.19,5.52,6.16,7.52
February,,,,,7.93,3.64,6.29,3.08,5.68,3.8,6.55,2.08,4.58,3.01,7.08,9.26,6,5.04,3.98,9.98,5.73,2.31,2.9,4,4.22,2.39,4.81,7.42,0.43,4.75
March,,,,,2.25,4.38,3.9,1.71,4.17,4,6.8,3.47,2.42,0.96,1.82,2.88,8.91,2.54,2.3,2.97,6.95,2.79,3.42,3.94,3.77,2.55,4.01,3.72,2.37,2.83
April,,,,,4.2,2.1,2.95,0.68,3.05,3.76,3.38,2.68,3.6,3.57,3.38,2.49,5.82,3,5.85,5.87,3.43,3.25,4.18,0.84,2.17,3.17,0.49,1.55,6.39,3.07
May,,,,,0.55,1.86,3.17,3.7,2.55,0.95,3.81,4.05,3.31,3.84,4.16,2.58,4.35,2.59,3.74,3.14,4.43,2.83,3.06,5.22,4.74,1.72,1.55,4.24,1.42,2.35
June,,,,,5.2,5.74,1.69,4.86,3.19,0.85,1.8,1.04,3.52,2.82,3.97,4.7,3.16,5.67,0.92,1.8,1.04,2.87,4.28,2.58,3.96,4.01,1.15,5.61,2.34,1.82
July,,,,,2.1,4.37,2.85,4.51,7.47,3.94,2.32,5.23,2.25,3.27,1.95,4.77,2.32,1.5,4.41,2.92,3.38,2.29,5.4,5.21,1.09,9.11,4.25,5.51,3.45,6.57
August,,,,,2.15,1.73,1.25,3.46,1.94,1.75,6.18,5.62,5.51,4.58,3.65,5.03,0.34,5.62,4.22,3.83,6.64,3.37,4.63,6.75,0.91,10.33,6.82,3.75,1.13,4.64
September,,,,,7.3,5.84,1.73,2.51,2.3,4.3,0.67,3.47,4.9,6.54,2.64,7.73,2.36,2.4,2.01,7.66,3.43,5.54,4.58,5.93,1.89,4.85,6.54,4.4,0.22,4.28
October,,,,,10.9,6.11,4.12,12.16,4.34,6.13,6.51,7.11,2.62,5.85,8.62,2.02,1.26,3.28,5.22,3.08,1.24,7.69,3.14,7.95,3.56,3.49,5.49,4.73,5.01,9.05
November,,,,,8.6,7.79,3.01,7.4,9.68,10.26,4.57,1.94,4.55,9.11,0.79,10.47,8.18,2.53,9.33,7.74,12.63,3.36,4.52,9.13,2.82,2.49,3.65,1.73,6.61,7.9
December,,,,,3.9,5.43,3.67,5.22,4.73,4.91,3.65,4.63,3.08,5.65,3.81,5.34,7.43,5.49,11.62,3.5,10.57,4.69,2.59,9.26,6.82,7.29,7.05,5.92,10.8,7.46
Total,,,,,57.57,54.19,41.54,56.94,55.88,48.53,50.84,46.4,47.54,58.97,48.37,64.69,55.39,53.3,56.88,56.45,65.59,47.62,45.53,65.59,39.66,58.98,50,54.1,46.33,62.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Long Grain stream at the stated altitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 2743, continues to 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan and Feb 1940, Jan 1941 and Feb 1947 corrected for snow but left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
