"DUNFORD BRIDGE (LONG GRAIN)",,,,,,,,,,,,
Grid ref,SE166019,Long,-1.751143,Lat,53.513521,,,,,,,
Station no,3158/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.12,6.63,2.83,4.78,3.71,7.58,4.19,5.52,6.16,7.52,,
February,5.73,2.31,2.90,4.00,4.22,2.39,4.81,7.42,0.43,4.75,,
March,6.95,2.79,3.42,3.94,3.77,2.55,4.01,3.72,2.37,2.83,,
April,3.43,3.25,4.18,0.84,2.17,3.17,0.49,1.55,6.39,3.07,,
May,4.43,2.83,3.06,5.22,4.74,1.72,1.55,4.24,1.42,2.35,,
June,1.04,2.87,4.28,2.58,3.96,4.01,1.15,5.61,2.34,1.82,,
July,3.38,2.29,5.40,5.21,1.09,9.11,4.25,5.51,3.45,6.57,,
August,6.64,3.37,4.63,6.75,0.91,10.33,6.82,3.75,1.13,4.64,,
September,3.43,5.54,4.58,5.93,1.89,4.85,6.54,4.40,0.22,4.28,,
October,1.24,7.69,3.14,7.95,3.56,3.49,5.49,4.73,5.01,9.05,,
November,12.63,3.36,4.52,9.13,2.82,2.49,3.65,1.73,6.61,7.90,,
December,10.57,4.69,2.59,9.26,6.82,7.29,7.05,5.92,10.80,7.46,,
Total,65.59,47.62,45.53,65.59,39.66,58.98,50.00,54.10,46.33,62.24,,
Calc annual,65.59,47.62,45.53,65.59,39.66,58.98,50.00,54.10,46.33,62.24,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
