DERBY-DUFFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK343436,Long,-1.4904974,Lat,52.988643,Elevation,200,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,3.06,1.77,2.92,1.89,0.95,4.18,2.39,2.04,3.01,1.38,4.48,2.66,1.82,0.26,0.56,3.22,2.94,3.14,2.05,3.88,2.38,0.97,1.03
February,,,,,,,,1.98,2.2,2.28,1.64,1.93,3.37,0.97,2.07,1.29,3.12,2.26,1.88,3.07,2.05,5.77,2.33,2.63,2.34,2.39,0.58,0.34,0.59,1.49
March,,,,,,,,2.27,2.07,1.9,2.04,1.27,2.17,2.5,1.47,0.79,3.8,2.18,0.81,1.29,2.26,3.24,2.29,0.91,1.9,1.38,2.83,1.23,2.07,3.29
April,,,,,,,,3.27,1.64,1.51,0.74,3.6,2.38,0.56,1.6,0.73,2.99,2.28,1.43,2.16,1.58,1.51,3.29,2.75,2.05,1.79,1.66,0.96,1.24,2.73
May,,,,,,,,1.71,1.27,4.17,1.17,1.92,1.62,2.87,1.08,1.93,0.91,2.83,5.43,2.94,1.38,1.9,2.87,1.09,1.05,2.26,5.2,1.54,0.39,3.69
June,,,,,,,,1.68,0.44,1.11,1.53,4.21,5.78,2.56,1.07,3.07,2.3,1.72,3.3,6.42,4.15,2.35,4.05,4.62,1.29,3.12,1.39,0.65,1.56,0.42
July,,,,,,,,1.92,0.28,0.31,0.91,4.06,4.66,2.56,1.81,5.88,1.27,3.65,0.72,2.39,6.17,1.14,3.71,2.36,3.69,0.61,3.13,1.11,5.48,2.77
August,,,,,,,,3.71,3.51,2.54,1.12,1.18,1.96,3.19,2.74,3.54,1.7,5.84,7.78,6.24,3.06,6.1,1.68,1.54,4.26,2.16,1.7,1.63,2.53,2.85
September,,,,,,,5.55,1.93,1.75,5.14,1.25,4.97,3.31,1.53,2.26,4.44,5.52,2.46,2.07,2.88,3.34,1.63,2.08,6.07,1.84,2.9,1.56,2.35,1.1,2.32
October,,,,,,,3.06,3.11,3.17,1.4,5.04,2.85,4.54,3,2.71,5.85,2.17,2.47,2.89,1.35,4.69,3.71,4.72,2.61,1.22,6.02,5.6,1.38,0.83,2.83
November,,,,,,,3.43,0.98,1.56,2.21,2.29,1.38,3.1,2.39,3.6,3.75,4,3.51,2.69,0.83,2.93,3.74,4.28,3.24,1.32,2.92,1.8,1.89,3.63,0.98
December,,,,,,,2.02,1.47,6.84,4.48,2.37,1.65,4.01,0.44,3.14,1.2,5.78,2.61,2.3,1.76,4,2.69,5.42,1.83,2.64,0.88,2.84,1.81,2.38,1.89
Total,,,,,,,,27.09,26.5,29.97,21.99,29.97,41.08,24.96,25.59,35.48,34.94,36.29,33.96,33.15,35.87,34.34,39.94,32.59,26.74,28.48,32.17,17.27,22.77,26.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is on King Street, Duffield. The observer, William Bland lived at Granville Terrace, which may have been on King St. He was headmaster at a school 200m NNW and the gauge could have been there but the school did not open at that site until 1869, although the school was in King St previously. NGR fits the relationship to the church and is reasonable match to the altitude but further from Duffield Hall than quoted on the 1860s record, i.e. 700 yards vs 300 quoted. NGR could be +/- 300m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
