HUNSTANWORTH (SCHOOL HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,NY951483,Long,-2.0778002,Lat,54.829509,Elevation,1200,ft,,,,,,,,,,,,
Station no,3553/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.85,2.23,5.94,4.62,4.04,5.46,2.23,3.74,1.28,4.95,3.21,4.03,3.6,3.14,,,
February,,,,0.29,6.27,3.11,3.43,2.03,2.12,1.58,5.15,0.46,2.98,2.74,3.37,2.49,5.5,,,
March,,,,4.71,0.98,3.16,2.24,1.16,5.22,2.93,2.72,0.61,1.48,0.68,1.21,2.35,7.19,,,
April,,,,5.37,3.85,2.09,2.85,0.59,2.1,2.2,1.32,1.53,2.69,1.43,2.54,1.94,6.13,,,
May,,,,2.44,1.14,2.28,3.53,3.16,1.61,0.69,2.16,1.78,4.26,2.59,3.82,3.45,1.94,,,
June,,,,4.17,2.47,3.82,1.08,3.68,3.1,0.65,0.41,0.35,1.89,2.68,2.92,2.17,3.68,,,
July,,,,2.82,1.45,3.72,2.16,2.68,2.81,6.31,1.33,2.72,3.23,3.49,2.14,3.83,3.94,,,
August,,,,3.45,1.95,1.83,2.75,2.36,5.37,1.3,3.39,2.31,5.29,1.72,2.95,4.46,0.23,,,
September,,,,1.74,4.58,3.95,3.12,1.87,2.59,2.44,0.31,2.69,3.58,6.72,1.71,4.65,2.16,,,
October,,,,5.61,8.92,4.34,3.09,7.07,5.39,4.9,3.84,1.89,3.39,4.21,4.93,1.31,1.51,,,
November,,,,3.73,5.65,4.43,0.96,5.46,4.01,4.24,4.33,0.52,3.06,5.95,1.4,6.98,4.87,,,
December,,,,5.09,2.74,4.04,4.4,3.11,2.55,3.21,1.33,2.87,1.85,4.04,1.98,3.04,4.15,,,
Total,,,,42.27,42.23,42.71,34.23,37.21,42.33,32.68,30.03,19.01,38.65,39.46,33,40.27,44.44,,,
,,,,,,,,,,,,,,,,,,,,
"1941 Jan 3.74, Feb 5.515, Mar 2.72 and total estimated so removed",,,,,,,,,,,,,,,,,,,,
"1943 Jan 4.95, Aug 5.29 and total estimated so removed",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1829,HUNSTANWORTH: SCHOOL HOUSE ,NY9519848288,01/01/1934,31/12/1947,,,,,,,,,,,,,,,,
