TINTAGEL-KING-ARTHURS-CASTLE-HOTEL,,,,,,,,,,,,,,,,,,,,
Grid ref,SX054890,Long,-4.75521,Lat,50.66861,Elevation,245,ft,,,,,,,,,,,,
Station no,RR7248,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.63,1.74,0.67,3.45,1.15,3.18,5.78,1.31,3.95,1.88,,,
February,,,,,,,,1.31,2.27,1.6,4.22,1.83,2.63,1.26,3.74,6.71,5.7,,,
March,,,,,,,,1.03,4.33,3.19,0.68,2.47,4.48,3.39,5.89,0.63,,,,
April,,,,,,,,4.15,1.79,1.49,2.24,2.08,0.29,2.7,1.73,1.66,1.1,,,
May,,,,,,,,3.09,1.2,0.78,2.08,1.46,1.53,2.67,1.43,2.01,,,,
June,,,,,,,,3.06,0.56,2.09,2.61,2.31,5.7,0.63,1.53,2.68,,,,
July,,,,,,,,1.79,2.23,2.11,2.52,1.01,2.67,0.37,,4.75,,,,
August,,,,,,,,2.95,2.91,1.42,2.77,2.14,7.61,0.98,,0.85,,,,
September,,,,,,,,0.71,2.25,0.93,0.06,1.95,0.68,1.97,,1.31,,,,
October,,,,,,,,6.71,1.44,3.28,5.66,3.02,3.85,3.27,,3.8,,,,
November,,,,,,,,4.02,1.43,1.73,4.33,3.87,2.63,4.47,,1.68,,,,
December,,,,,,,,4.95,2.83,3.57,5.34,7.53,5.49,3.27,,8.53,,,,
Total,,,,,,,,35.4,24.98,22.86,35.96,30.82,40.74,30.76,,38.56,,,,
,,,,,,,,,,,,,,,,,,,,
1919 Not published but no reason given,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Rejected from 1932 survey as 3in low,,,,,,,,,,,,,,,,,,,,
