DERBY-BRAYFIELD-ROAD,,,,,,,,,,
Grid ref,SK334339,Long,-1.5048997,Lat,52.901507,Elevation,233,ft.,,
Station no,2655/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,-999,3.31,5.12
February,,,,,,,,-999,0.16,2.06
March,,,,,,,,-999,1.54,1.58
April,,,,,,,,-999,2.39,1.25
May,,,,,,,,-999,0.32,1.27
June,,,,,,,,-999,0.72,2.49
July,,,,,,,,-999,1.45,3.3
August,,,,,,,,-999,0.81,4.26
September,,,,,,,,-999,0.06,4.48
October,,,,,,,,-999,1.94,4.86
November,,,,,,,,-999,2.7,2.83
December,,,,,,,,3.09,3.06,2.89
Total,,,,,,,,31.08,18.46,36.39
,,,,,,,,,,
MIDAS src_id 3220 DERBY: BRAYFIELD ROAD Start 1958 end 1992,,,,,,,,,,
"NGR is Brayfield Road at the stated altitude. 1950s record has an NGR of SK344339, which is not on Brayfield Road and is 1km E, transcription error by observer? MIDAS has an NGR of SK335339, i.e. 100m further away from Brayfield Road.",,,,,,,,,,
