WALLINGFORD-ASTON-TIRROLD-THORPE-FARM,,,,,,,,,,
Grid ref,SU552861,Long,-1.2049297,Lat,51.571076,Elevation,225,ft.,,
Station no,RR4737,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,3.15,0.51,,,,
February,,,,,2.95,0.43,,,,
March,,,,,1.01,3.64,,,,
April,,,,,1.08,1.98,,,,
May,,,,,3.21,0.89,,,,
June,,,,,1.19,4.09,,,,
July,,,,,2.5,0.59,,,,
August,,,,,2,2.49,,,,
September,,,,,1.17,1.32,,,,
October,,,,,1.2,1.66,,,,
November,,,,,1.49,3.61,,,,
December,,,,,2.42,,,,,
Total,,,,,23.37,,,,,
,,,,,,,,,,
NGR is based on the relationship with the church. Altitude is from OS map.,,,,,,,,,,
Gauge moved on 1 Dec 1905 about 0.25 miles W.,,,,,,,,,,
