WALLINGFORD-ASTON-TIRROLD-LOWER-END-FARM,,,,,,,,,,,,,,,,,,,,
Grid ref,SU554864,Long,-1.201997,Lat,51.571076,Elevation,250,ft.,,,,,,,,,,,,
Station no,RR4737,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,4,0.64,1.45,0.51,1.72,0.83,3.92,3.14,0.52,3.23,0.56,1.16,2.83,
February,,,,,,,1.73,1.09,0.85,0.6,3.34,1.55,2.22,0.87,2.87,5.03,4.61,0.74,0.84,
March,,,,,,,1.24,1,3.32,2.93,0.8,1.63,3.97,2.78,4.09,0.8,4.9,2.21,0.6,
April,,,,,,,0.25,2.5,4.26,1.53,2.23,0.94,0,3.64,0.71,0.98,0.59,1.04,2.96,
May,,,,,,,1.91,2.73,1.29,1.23,1.49,2.67,1.41,2.07,1.35,3.64,1.58,1.04,1.48,
June,,,,,,,2.52,1.89,0.9,4.56,3.29,1.38,3.45,0.36,1.65,1.21,1.88,0.43,0.55,
July,,,,,,,0.65,2.33,2.34,1.67,1.26,0.1,2.37,1.02,3.46,3.45,1.28,4.32,3.55,
August,,,,,,,0.61,1.54,3.21,3.1,2.65,1.08,4.73,1.2,2.13,2.41,3.41,4.94,0.78,
September,,,,,,,0.58,0.59,1.95,3.09,0.28,1.01,1.97,1.7,0.84,2.73,0.91,1.7,4.71,
October,,,,,,,4.59,5.13,0.88,3.3,3.78,1.83,2.87,4.51,2.56,2.47,4.21,2.73,1.45,
November,,,,,,,3.21,2.21,0.93,0.34,3,2.74,2.1,2.48,3.03,1.81,3.68,0.4,2.52,
December,,,,,,0.91,1.83,4.24,2.3,2.99,4.58,6.28,3.43,1.2,6.8,6,3.42,0.92,1.34,
Total,,,,,,,23.12,25.89,23.68,25.85,28.42,22.04,32.44,24.97,30.01,33.76,31.03,21.63,23.61,
,,,,,,,,,,,,,,,,,,,,
NGR is based on the relationship to the church. Stated altitude is 50 ft too high or gauge is 200m W. ,,,,,,,,,,,,,,,,,,,,
"Lower End Farm is noted in pencil on the record, apparenty this farm is also known as Ham Farm, which is NE and too low, and Ulsthorpe Farm, which is 200m E and also too low. ",,,,,,,,,,,,,,,,,,,,
