ORMES-MOOR,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE022007,Long,-1.9683015,Lat,53.50299,Elevation,1356,ft.,,,,,,,,,,,,,
Station no,2757,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,3.1,3.5,4.5,8.9,2.1,4.9,8,5.45,3.08,,,,,,,
February,,,,,,6,3.6,2.85,5,1.3,0.68,8,0.72,7.2,,,,,,,
March,,,,,,1.75,1.45,4.7,1.9,1.2,2.5,0.71,3.46,3.43,,,,,,,
April,,,,,,2.35,2.8,3.6,1.15,1.95,3.6,6.05,5.6,2.38,,,,,,,
May,,,,,,4.5,4.65,1.5,1.4,3.4,1.98,3.05,5.5,2,,,,,,,
June,,,,,,0.07,4.6,5.35,7.8,1.9,5,7,0.75,2.56,,,,,,,
July,,,,,,3,2.79,4.6,2.1,3.65,8.7,5.67,6.53,4.21,,,,,,,
August,,,,,,4.25,5.65,5.4,6.3,7.2,6.15,8.5,2.01,1.55,,,,,,,
September,,,,,,4.15,3.7,7.6,0.9,1.85,4.53,6.51,5.7,2.22,,,,,,,
October,,,,,,4.8,3.7,3.8,4,5.25,5.9,2.75,8.5,5.95,,,,,,,
November,,,,,,3.3,4.6,4.6,6.05,8.7,4.4,6.21,4.06,2.62,,,,,,,
December,,,,,,3.3,2.35,2,2.8,5.6,2.9,2.5,2.6,0.91,,,,,,,
Total,,,,,47.12,40.57,43.39,50.5,48.3,44.1,51.24,64.95,50.88,38.11,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is on Ormes Moor at the stated altitude. NGR could be +/- 300 NW or SE.,,,,,,,,,,,,,,,,,,,,,
440m from SWINESHAW-MOOR-BOAR-FLAT,,,,,,,,,,,,,,,,,,,,,
