GLEN LUSSA (BORDADUBH),,,,,,,,,,,,
Grid ref,NR736316,Long,-5.588554,Lat,55.525480,,,,,,,
Station no,5418/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.05,8.97,3.35,7.25,4.45,7.90,6.65,8.35,3.00,7.14,,
February,4.45,3.50,3.33,7.55,3.45,1.75,5.40,7.10,2.50,9.10,,
March,5.20,3.40,2.89,5.38,4.85,2.80,7.05,1.95,4.00,3.00,,
April,3.20,2.41,2.50,2.50,5.35,1.35,2.70,2.70,1.87,5.13,,
May,2.05,2.05,3.10,4.62,5.95,2.75,4.25,2.75,1.50,2.77,,
June,3.05,4.50,1.68,5.65,5.15,3.85,2.50,3.95,1.83,3.44,,
July,5.90,5.05,8.95,7.05,2.30,6.75,8.80,4.50,6.07,9.20,,
August,3.50,8.10,4.45,5.92,0.00,8.05,6.50,5.80,2.01,2.50,,
September,4.30,5.52,9.42,8.97,7.55,5.60,8.00,5.85,3.20,4.60,,
October,3.05,6.58,5.20,12.55,6.15,3.55,6.70,4.50,9.63,5.74,,
November,10.92,3.40,10.25,12.75,4.75,4.65,3.85,3.00,7.20,9.00,,
December,8.00,8.40,5.65,9.95,9.05,8.30,7.65,7.50,13.11,7.00,,
Total,60.67,61.88,60.77,90.14,59.00,57.30,70.05,57.95,55.92,68.62,,
Calc annual,60.67,61.88,60.77,90.14,59.00,57.30,70.05,57.95,55.92,68.62,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
