LOCH TAY (ACHMORE BURN),,,,,,,,,,,,
Grid ref,NN588296,Long,-4.291687,Lat,56.437388,,,,,,,
Station no,5555/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.69,9.81,-999.00,2.97,7.02,,
February,,,,,,2.13,5.81,2.69,2.95,6.43,,
March,,,,,,3.12,6.60,2.20,6.50,3.45,,
April,,,,,,1.64,2.44,-999.00,5.90,7.72,,
May,,,,,,3.63,2.85,-999.00,2.04,5.05,,
June,,,,,,4.41,1.67,-999.00,3.22,3.77,,
July,,,,,,6.20,4.65,5.86,5.00,5.25,,
August,,,,,,5.52,6.25,6.93,4.71,4.05,,
September,,,,,,7.07,4.14,6.67,1.65,5.25,,
October,,,,,,3.87,5.01,6.00,7.22,8.02,,
November,,,,,,2.45,2.08,2.34,10.80,9.81,,
December,,,,,,10.63,9.06,9.35,16.70,9.49,,
Total,,,,-999.00,,54.36,60.37,60.16,69.66,75.31,,
Calc annual,0.00,0.00,0.00,0.00,0.00,54.36,60.37,42.04,69.66,75.31,,
Difference,NaN,NaN,NaN,-999.00,NaN,0.00,0.00,18.12,0.00,0.00,,
