PENRITH CULGAITH VICARAGE - Howard gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY605298,Long,-2.6133,Lat,54.6622,Elevation,505,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,2.05,2.13,,,,,,,,,,,,,,,,,,,0.93,5.22,2.85,1.05,,,,,,1.54,4.41,2.14,1.07,1.32
February,,,,,,,2.13,1.35,,,,,,,,,,,,,,,,,,,2.72,2.73,0.97,1.64,,,,,,3.14,0.74,1.23,1.45,1.36
March,,,,,,,0.16,2.86,,,,,,,,,,,,,,,,,,,4.51,2.25,1.68,1.64,,,,,,1.76,1.85,1.45,1.54,1.32
April,,,,,,,1.88,1.43,,,,,,,,,,,,,,,,,,,2.39,2.29,1.96,1.9,,,,,,1.61,2.29,1.73,1.45,1.6
May,,,,,,,2.98,1.21,,,,,,,,,,,,,,,,,,,1.1,1.8,4.75,1.25,,,,,,2.67,3.61,1.98,1.74,2.81
June,,,,,,,2.88,2.52,,,,,,,,,,,,,,,,,,,1.83,2.23,2.53,3.6,,,,,,1.3,1.42,0.35,1.51,1.22
July,,,,,,,1.55,1.81,,,,,,,,,,,,,,,,,,,1.93,3.9,1,3.8,,,,,,1.45,4.41,1.12,4.58,2.67
August,,,,,,,2.79,3.47,,,,,,,,,,,,,,,,,,,3.4,6.55,3.55,3.39,,,,,,1.5,1.53,2.26,2.48,5.09
September,,,1.96,,,1,3.99,1.97,,,,,,,,,,,,,,,,,,,3.61,1.92,3.3,1.46,,,,,,2.47,3.08,3.79,0.79,1.48
October,,,1.23,,3.46,4.35,2.27,2.62,,,,,,,,,,,,,,,,,,,2.17,3.95,3.71,1.19,,,,,,2.54,5.31,1.69,2.67,4.35
November,,,3.42,,2.84,1.65,1.66,2.27,,,,,,,,,,,,,,,,,,,2.23,5.46,2.42,1.16,,,,,,1.72,2.61,2.31,4.04,1.69
December,,,8.15,,3.81,1.57,4.61,1.9,,,,,,,,,,,,,,,,,,,4.29,2.63,2.15,1.44,,,,,,1.21,5.16,3.13,2.52,2.36
Total,,,,,,,28.95,25.54,,,,,,,,,,,,,,,,,,,31.11,40.93,30.87,23.52,,,,,,22.91,36.42,23.18,25.84,27.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_F_pt1-page-275.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no record for 1860s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_09_pt3-page-072.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_12_pt1-page-007.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
