"STORNOWAY LIGHTHOUSE",,,,,,,,,,,,
Grid ref,NB432307,Long,-6.371121,Lat,58.190114,,,,,,,
Station no,5795,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.94,2.77,2.65,4.20,5.50,2.60,1.66,0.97,2.68,4.35,,
February,2.20,2.78,0.87,4.80,3.60,4.10,1.03,3.31,3.33,1.15,,
March,0.69,1.69,3.80,5.60,1.35,4.40,0.67,3.43,4.83,1.37,,
April,2.66,2.45,1.65,2.15,4.35,1.95,0.66,1.74,3.09,2.09,,
May,2.52,0.41,2.14,1.55,2.00,1.10,0.83,2.16,2.06,2.39,,
June,3.58,2.86,1.79,1.35,1.45,0.62,0.53,5.28,1.52,1.51,,
July,3.23,1.52,1.95,3.55,1.55,0.83,2.49,2.64,1.36,2.60,,
August,2.66,3.76,1.85,7.35,5.95,1.18,1.14,4.26,1.97,2.21,,
September,4.85,2.33,2.28,2.60,3.45,3.64,0.41,0.94,3.62,1.16,,
October,4.04,4.25,4.82,7.82,3.00,1.20,1.34,1.72,2.53,6.38,,
November,2.88,2.19,2.50,3.85,3.55,2.51,5.79,3.60,5.49,3.32,,
December,5.49,3.85,2.81,1.90,5.30,2.49,1.64,4.12,4.69,3.28,,
Total,38.74,30.86,29.11,46.72,41.05,26.62,18.19,34.17,37.17,31.81,,
Calc annual,38.74,30.86,29.11,46.72,41.05,26.62,18.19,34.17,37.17,31.81,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
