STORNOWAY LIGHTHOUSE,,,,,,,,,,,,
Grid ref,NB432307,Long,-6.371121,Lat,58.190114,,,,,,,
Station no,5795,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.34,5.37,3.27,3.91,2.40,4.55,5.48,5.80,6.89,2.45,,
February,3.15,3.02,3.05,2.87,1.99,2.43,3.00,3.22,1.17,2.71,,
March,2.54,3.87,1.49,4.09,1.56,1.49,3.66,0.88,1.89,0.66,,
April,4.38,1.94,4.08,1.48,1.88,2.18,2.20,1.83,4.73,2.72,,
May,0.94,2.25,1.90,3.64,2.21,2.17,2.10,5.72,0.75,1.11,,
June,2.25,2.64,1.91,4.16,2.11,1.88,3.34,1.76,1.98,3.53,,
July,3.76,2.73,4.45,2.83,0.74,4.56,2.28,1.41,3.87,2.35,,
August,4.78,3.16,2.92,2.09,1.33,3.43,,2.93,2.15,2.43,,
September,3.17,4.23,1.73,4.66,4.17,2.46,,4.67,1.16,2.37,,
October,3.01,5.20,4.67,7.63,4.03,5.15,,4.01,3.61,1.26,,
November,4.78,3.44,7.34,5.38,2.11,3.55,,2.10,6.71,2.97,,
December,5.55,5.47,4.39,6.15,6.74,4.90,,2.73,3.50,4.40,,
Total,42.65,43.32,41.20,48.89,31.27,38.75,,37.06,38.41,28.96,,
Calc annual,42.65,43.32,41.20,48.89,31.27,38.75,22.06,37.06,38.41,28.96,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,NaN,0.00,0.00,0.00,,
