GLASTONBURY-MAGDALENE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST498387,Long,-2.71887,Lat,51.14541,Elevation,52,ft,,,,,,,,,,,,
Station no,RR7659,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,2.29,3.93,2.65,1.44,0.45,2.34,1.56,1.7,2.66,2.05,3.48,0.93,1.7,0.94,
February,,,,,,2.89,0.65,0.46,0.97,1.56,1.18,0.04,1.65,3.2,3.04,0.14,0.53,3.78,1.52,
March,,,,,,1.02,2.29,1.94,2.71,2.47,1.1,2,0.54,0.32,1.73,2.61,3.07,3.56,0.49,
April,,,,,,2.69,3.03,1.25,1.58,2.88,2.42,0.92,1.14,0.17,2.2,1.99,1.02,2.68,1.44,
May,,,,,,3.3,3.71,1.88,0.62,3.48,1.31,2.56,0.93,0.71,2.9,0.67,0.18,1.69,3.33,
June,,,,,,1.05,1.14,0.97,2.71,0.63,4.06,1.19,2.51,1.11,2.15,0.83,1.68,2.58,1.81,
July,,,,,,0.51,2.72,1.18,6.77,2.8,3.95,2.91,2.04,4.56,4.03,2.85,1.12,1.54,0.4,
August,,,,,,1.52,1.69,0.75,1.66,2.92,2.38,5.6,2.82,1.34,3.17,4.65,1.93,4.06,1.5,
September,,,,,,5.06,2.28,2.5,1.19,1.48,1.3,2.13,3.2,2.2,2.69,1.5,5.82,2.77,0.93,
October,,,,,,5.81,4.5,3.36,1.25,3.15,1.58,7.41,2.3,3.24,2.67,3.96,1.95,1.67,4.29,
November,,,,,,2.63,4.34,2.67,5.07,0.97,1.84,2.89,2.24,1.46,5.32,5.59,0.99,0.99,3.09,
December,,,,,,1.22,5.26,2.45,3.02,2,1.5,3.91,1.28,3.12,2.82,2.42,4.57,4.55,2.66,
Total,,,,,,29.99,35.54,22.06,28.99,24.79,24.96,33.12,22.35,24.09,34.77,30.69,23.79,31.57,22.4,
