BEXHILL-MARINA,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ742071,Long,0.47262373,Lat,50.837212,Elevation,27,ft,,,,,,,,,,,,
Station no,RR6719,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,5.43,1.17,4.76,1.36,1.6,1.06,2.42,1.33,,3.92,0.9,3.25,1.33,,,
February,,,,,3.75,0.7,2.94,1.57,1.15,0.43,3.07,1.21,,0.94,2.86,2.8,4.98,,,
March,,,,,1.69,5.13,1.98,0.94,2.32,3.41,1.4,2.64,,2.13,4.7,0.58,3.57,,,
April,,,,,1.33,1.86,1.99,2.76,2.23,2.13,1.81,1.34,0.04,2.67,0.98,1.79,1.62,,,
May,,,,,3.34,1.32,2.44,1.9,1.01,1.19,2.2,0.68,,0.71,0.64,3.61,1.93,,,
June,,,,,1.27,3.73,1.78,1.64,1.12,2.63,1.74,1.66,,0.75,1.66,0.82,2.44,,,
July,,,,,1.14,1.14,0.45,1.79,3.42,2.36,2.74,0.15,,2.23,1.91,3.17,0.68,,,
August,,,,,2.14,3.1,1.06,1.02,3.43,3.28,1.94,2.38,,2.4,0.85,0.94,2.57,,,
September,,,,,1.41,2.61,1.84,0.6,1.83,2.74,0.28,1.13,,1.93,1.28,2,1.4,,,
October,,,,,2.65,1.86,4.61,5.4,2.12,5.47,4.48,4.77,,5.21,2.24,2.41,4.79,,,
November,,,,,1.77,4.75,7.57,2.66,1.15,0.66,5.03,5.56,,3.28,3.15,3.04,5.55,,,
December,,,,,4.16,1.59,2.53,3,2.62,4.99,2.67,5.58,,1.55,7.75,7.09,4.29,,,
Total,,,,,30.08,28.96,33.95,24.64,24,30.35,29.78,28.43,,27.72,28.92,31.5,35.15,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1912 Total removed from incomplete column,,,,,,,,,,,,,,,,,,,,
