CATERHAM-VALLEY-BRADENHURST,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ337545,Long,-0.08466958,Lat,51.273971,Elevation,600,ft.,,,,,,,,,,,,
Station no,RR8290,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,4.28,1.19,1.08,2.97,5.33,1.33,6.14,1.43,1.41,1.35,2.63,1.77,2.97,4.58,0.99,4.54,,,,
February,4.57,1.53,1.54,2.01,3.75,1.04,3.02,1.9,1.47,0.7,4.23,1.85,2.78,1.38,4.87,,,,,
March,1.02,3.08,2.07,3.69,1.96,4.42,1.95,1.23,3.35,4.14,1.4,2.3,4.74,3.65,5.9,1.09,,,,
April,1.22,2.25,0.99,2.65,1.52,2.02,0.8,4.09,3.06,2.15,2.02,2.22,0.08,3.53,1.34,,,,,
May,1.29,2.09,3.12,3.04,2.8,0.82,1.76,2.55,2.42,1.54,3.28,2.83,1.34,1.69,1.61,,,,,
June,3.17,1.23,5.14,6.21,1.03,6.03,2.25,2.05,1.85,3.29,2.25,2.43,4,0.41,0.92,,,,,
July,1.37,1.73,1.98,4.68,1.32,0.58,0.56,1.46,3.9,4.21,3.13,0.35,1.93,2.72,2.56,,,,,
August,5.06,2.2,3.69,5.14,1.81,3.18,1.3,2.73,4.73,2.68,2.98,0.54,6.55,2.28,2.08,,,,,
September,1.35,2.13,0.5,2.62,1.84,2.42,2.16,0.63,1.57,3.51,1.03,1.47,3.76,2.1,1.09,,,,,
October,2.39,3.63,2.78,8.07,2.66,1.56,4.82,4.47,2.41,6.27,3.41,5.46,3.73,4.79,2.09,,,,,
November,3.31,0.98,2.6,2.85,1.87,5,6.32,2.74,1.09,1.21,4.02,5.58,3.08,3.22,4.31,,,,,
December,3.64,5.11,1.91,2.33,3.2,0.84,2.76,3.52,3.14,4.3,4.67,7.61,4.02,1.58,9.74,,,,,
Total,32.67,27.15,27.4,46.26,29.09,29.24,33.84,28.8,30.4,35.35,35.05,34.41,38.98,31.93,37.5,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Bradenhurst. Altitudes match,,,,,,,,,,,,,,,,,,,,
