FULBECK PARSONAGE / FULBECK HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK947504,Long,-0.589,Lat,53.043,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926
January,,3.20,1.03,2.29,0.83,2.50,2.81,1.04,0.84,1.69,1.75,0.69,2.79,0.87,0.94,0.77,1.69,1.15,2.96,2.58,1.37,2.47,0.87,2.37,1.81,3.81,1.89,2.01,2.32,1.35,1.79,1.50,1.89
February,,0.35,0.70,3.01,0.40,1.23,4.01,1.39,1.70,0.61,3.07,0.72,1.64,1.07,1.85,0.55,1.88,1.14,1.34,0.79,1.13,2.39,4.01,0.92,1.77,2.76,1.64,0.44,2.39,3.29,1.00,2.03,0.93
March,,1.74,2.03,2.34,1.45,0.55,0.86,1.68,1.35,3.08,1.68,1.72,1.29,1.37,2.70,3.74,0.60,1.57,2.68,3.22,2.50,1.03,4.37,1.44,0.92,3.34,2.43,0.85,1.55,1.32,0.64,0.98,0.50
April,1.57,1.41,0.90,1.26,2.03,2.26,1.03,1.52,1.86,1.52,0.97,1.92,0.70,1.94,2.25,1.51,1.65,0.81,0.20,1.79,1.02,0.68,1.71,1.24,1.45,1.80,4.44,0.85,2.75,0.75,1.28,1.31,1.53
May,1.72,0.61,0.68,1.82,2.33,3.62,1.60,1.34,2.78,2.24,2.32,0.59,1.24,3.74,1.43,0.83,2.51,1.29,2.61,1.92,1.84,2.07,2.38,1.83,4.65,1.00,2.07,1.79,0.70,2.13,2.16,2.40,1.86
June,2.03,1.56,1.87,1.79,0.99,1.29,1.50,1.39,1.92,1.22,0.42,2.71,2.44,3.33,1.09,2.51,1.71,2.41,3.82,0.55,2.69,1.31,1.38,1.19,0.56,1.10,1.67,0.79,0.72,0.94,1.62,0.14,2.21
July,2.84,3.19,1.36,1.08,0.82,1.53,1.88,2.32,1.51,2.88,2.25,1.68,0.72,1.87,2.71,3.38,2.23,0.34,5.37,0.59,2.93,5.01,1.98,1.25,3.00,3.04,2.27,0.40,3.98,3.85,1.75,0.84,1.56
August,2.32,2.05,1.46,3.90,2.47,0.73,4.04,1.37,4.16,4.03,2.79,3.23,1.65,1.84,2.22,3.35,3.57,1.47,6.30,0.97,1.31,2.98,2.51,5.14,1.57,3.13,1.19,3.67,4.01,1.89,2.55,1.37,2.98
September,0.60,0.52,3.27,2.36,0.61,1.79,0.78,1.01,0.88,3.53,1.62,3.13,1.29,0.66,1.57,2.53,0.74,1.36,0.79,1.91,0.79,0.84,2.16,1.24,3.61,2.38,1.43,1.01,1.97,2.36,2.27,2.40,
October,2.37,2.62,3.09,0.63,2.76,2.74,2.21,1.68,2.31,4.90,0.47,1.26,4.06,3.91,0.90,2.16,1.96,1.97,1.70,4.02,2.59,1.38,1.91,3.06,1.70,1.65,1.38,2.49,1.14,2.15,4.24,2.37,
November,3.02,2.88,1.10,1.89,1.96,0.96,2.12,1.81,1.74,1.85,0.77,2.42,2.75,1.70,1.30,0.39,2.89,2.17,1.89,2.02,2.93,2.22,3.59,1.30,1.65,1.87,0.73,1.46,0.92,2.14,1.13,1.90,
December,1.89,1.93,3.80,1.70,1.59,1.98,4.12,4.50,1.56,0.78,1.55,0.60,2.45,1.90,1.37,3.99,4.44,3.67,3.06,0.88,4.20,5.40,2.52,0.80,2.51,2.92,2.47,1.67,3.18,1.98,1.99,1.24,
Total,,22.06,21.29,24.07,18.24,21.18,26.96,21.05,22.61,28.33,19.66,20.67,23.02,24.20,20.33,25.71,25.87,19.35,32.72,21.24,25.30,27.78,29.39,21.78,25.20,28.80,23.61,17.43,25.63,24.15,22.42,18.48,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Computed figures for 1890-1893 and January-March 1894, before the gauge came into operation, have been omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The gauge was relocated 100-200m from the Parsonage (Rectory) to the neighbouring Hall in 1914.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
