SANTON-BRANDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL817877,Long,0.672797,Lat,52.45702,Elevation,32,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.02,0.67,2.09,1.96,1,1.67,1.59,2.74,1.3,1.76,1.27,2.15,3.13,0.56,1.17,1.62,1.85,1.25,3.72,1.18,1.15,0.95,1.94,1.87,3.19,2.83,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.71,1.6,0.8,0.02,2.35,2.47,1.31,0.23,0.74,2.09,0.88,0.95,3,0.86,1.2,0.4,3.18,1.16,2.56,1.57,1.86,0.29,2.39,1.79,1.8,0.73,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.73,1.05,2.45,1.56,0.81,0.31,0.66,1.89,3.34,2.02,1.85,0.94,0.94,1.64,1.2,1.77,1.64,2.32,2.11,1.31,1.89,2.69,0.93,2.88,2.75,2.2,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.61,1.69,0.51,0.74,1.09,0.09,1.54,1.08,0.9,2.07,1.06,3.06,1.09,2.71,0.98,1.83,0.89,1.91,0.85,2.98,2.89,1.25,2.48,1.3,0.29,2.15,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0.77,2.44,2.09,2.61,1.46,0.83,1.88,0.8,0.66,1.25,3.39,2.01,1.02,1.16,3.79,1.92,2.24,1.07,0.91,2.71,1.24,1.1,2.84,0.81,1.77,2.21,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.22,1.43,3.38,0.88,3.16,0.97,2.37,1.03,2.61,1.87,1.87,0.76,2.4,1.04,2.83,2.93,0.86,2.7,2.84,2.22,1.11,3.34,1.46,3.7,2.68,2.01,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,4.27,1.96,3.4,3.45,3.83,4.5,2.93,3.46,1.58,0.47,1.44,1.46,2.64,1.34,2.34,4.72,2.33,0.54,0.54,1.86,3.33,3.41,2.75,0.52,4.36,0.93,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.52,2.58,2.23,5.68,2.22,1.96,2.68,4.87,2.57,3.73,2.65,1.32,2.25,1.26,3.22,2.7,2.93,2.8,0.91,1.72,2.53,2.18,2.61,0.88,9.65,1.69,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.31,3.39,0.65,1.13,2.52,1.23,1.4,0.69,4.66,3.59,0.22,3.24,0.45,1.17,0.72,3.67,1.84,3.05,0.88,0.49,1.86,1.49,1.06,2.41,2.22,0.8,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,0.83,2.95,1.49,3.3,5.96,2.29,2.64,2.03,3.35,0.83,1.89,2.6,1.98,1.72,1.38,5.7,1.36,2.42,3.64,2.72,1.19,3.84,1.56,2.33,2.36,2.68,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,2.75,1.32,2.77,1.71,1.69,2.86,2.7,2.94,0.9,1.41,1.58,2.77,2.11,1.71,1.49,2.41,1.21,1.93,2.95,2.65,1.13,0.86,2.98,3.99,2.71,1.97,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,1.38,1.46,0.55,3.25,1.3,1.22,2.84,1.78,3.38,1.39,2.4,1.19,2.25,3.21,1.31,1.15,1.81,0.89,2.73,1.9,1.65,4.43,4.38,4.13,3.11,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
