WARRINGTON CEMETERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ620889,Long,-2.5729185,Lat,53.395554,Elevation,32,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,4.58,2.9,2.66,4.1,1.5,4.21,3.31,1.54,0.54,0.33,2.73,4.22,3.46,1.67,4.14,2.13,1.72,1.33,2.81,1.64,4.8,1.19,1.76,3.03,1.22,,,,,,,,,,,,,,,,,,,,1.64,,,
February,,,2.95,0.53,1.07,0.8,3.79,3.82,1.45,2.54,1.84,4.38,2.08,1.9,2.24,2.44,0.9,0.53,0.58,1.76,0.38,0.29,2.02,2.73,3.68,0.26,1.46,,,,,,,,,,,,,,,,,,,,3.1,,,
March,,,2.35,3.68,2.12,0.57,2.78,2.25,1.32,1.37,1.95,2.7,1.91,1.14,2.57,2.01,1.65,1.43,2.2,1.99,1,1.26,0.87,0.47,2.18,2.62,3.46,,,,,,,,,,,,,,,,,,,,1.49,,,
April,,,3.13,0.96,1.15,0.47,2.65,2.34,1.75,3.03,1.23,1.36,3.54,1.53,1.09,1.55,1.23,0.79,0.99,2.15,1.33,1.9,1.1,0.48,1.7,1.83,1.5,,,,,,,,,,,,,,,,,,,,2.28,,,
May,,,2.46,1.34,1.88,2.07,0.94,3.37,4.02,2.71,2.48,3.7,2.14,0.81,1.98,2.36,5.74,1.91,0.74,2.81,,,3.15,1.57,,0.47,0.25,,,,,,,,,,,,,,,,,,,,1.16,,,
June,,,5.43,2.04,1.32,3.1,3.29,1.58,3.47,4.34,2.74,1.94,6.02,3.82,1.37,3.38,2.1,0.8,2.51,0.98,,2.35,3.68,2.05,,1.18,1.97,,,,,,,,,,,,,,,,,,,,3.27,,,
July,,3.69,5.28,3.77,2.41,5,2.36,7.42,1.35,3.74,4.43,3.33,5.39,3.2,4.47,1.76,2.84,1.43,5.74,4.42,,2.7,3.27,2.77,,4.16,0.16,,,,,,,,,,,,,,,,,,,,2.66,,,
August,,1.94,3.45,3.52,4.28,2.79,3.7,4.43,5.23,4.55,2.25,4.68,3.52,2.24,1.8,2.25,1.66,0.98,2.46,4.16,3.19,4.52,3.9,2.56,4.19,3.43,2.69,,,,,,,,,,,,,,,,,,,,1.93,,,
September,,4.54,6.12,2.14,3.24,5.1,4.19,3.28,3.84,3.27,3.15,1.7,2.1,5.47,2.89,4.27,3.97,4.13,1.06,2.14,1.34,3,4.02,3.15,1.32,2.2,5.08,,,,,,,,,,,,,,,,,,,,2.47,,,
October,,4.79,5.71,4.22,3.91,6.03,2.47,3.59,3.37,1.62,3.83,4.41,3.04,5.42,1.5,5.51,4.84,2.14,1.19,2.09,1.71,3.79,4.19,2.82,3.1,4.11,3.7,,,,,,,,,,,,,,,,,,,,3.85,,,
November,,1.69,3.9,2.05,4.42,3.77,3.77,5.74,2.03,0.97,,3.12,5.57,3.61,2.06,2.69,2.36,1.1,4.2,1.94,5.57,2.68,2.2,1.55,1.87,3,1.25,,,,,,,,,,,,,,,,,,,,2.32,,,
December,,2.25,4.34,0.83,2.53,1.73,5.04,2.83,1.68,1.69,5.95,3.61,4.3,2.22,3.14,1.86,3.86,2.45,2.03,2.35,0.39,4.8,1.77,3.28,2.54,3.03,3.84,,,,,,,,,,,,,,,,,,,,2.33,,,
Total,,,49.7,27.98,30.99,35.53,36.48,44.86,32.82,31.37,,35.26,42.34,35.58,28.57,31.75,35.29,19.82,25.42,28.12,,,34.97,24.62,,29.32,26.58,,,,,,,,,,,,,,,,,,,,28.5,,,
