"BUTT OF LEWIS LIGHTHOUSE",,,,,,,,,,,,
Grid ref,NB519665,Long,-6.262091,Lat,58.515739,,,,,,,
Station no,5797,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,0.84,3.81,3.33,3.56,1.85,,,,,,,
February,0.95,1.97,2.48,2.56,1.19,,,,,,,
March,0.75,4.03,1.45,2.34,0.68,,,,,,,
April,1.02,1.64,2.49,1.29,1.19,,,,,,,
May,0.40,2.29,1.86,2.47,1.61,,,,,,,
June,0.73,2.98,1.51,2.97,1.28,,,,,,,
July,0.98,1.52,3.80,2.17,0.56,,,,,,,
August,0.93,6.77,3.66,1.72,0.83,,,,,,,
September,1.03,3.02,2.18,4.04,2.57,,,,,,,
October,1.20,3.57,4.11,6.37,1.75,,,,,,,
November,3.13,4.16,6.83,4.21,1.66,,,,,,,
December,2.72,3.97,3.76,4.68,3.90,,,,,,,
Total,14.68,39.73,37.46,38.38,19.07,,,,,,,
Calc annual,14.68,39.73,37.46,38.38,19.07,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
