BRIDGNORTH-CANTREYN-HIGH-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO711944,Long,-2.4276032,Lat,52.546676,Elevation,290,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,,,,,,,1.27,0.97,1.12,1.84,0.57,3.72,3.33,0.81,3.36,0.7,1.86,1.84,2.31,3.06,2.14,3.76,1.58,2.88,2.35,2.68,,,
February,,,,,,,,1.28,1.27,0.72,3.02,1.58,1.23,1.28,2.38,3.46,3.88,0.97,1.44,2.77,1.47,0.3,2.63,5.29,0.52,3.26,1.89,,,
March,,,,,,,,0.99,2.98,2.44,0.68,1.48,3.78,5.32,2.56,0.65,2.74,2.46,1.51,4.61,2.49,1.03,2.32,1.5,1.31,0.9,0.54,,,
April,,,,,,,,1.88,2.84,2.21,1.87,0.8,0.14,3.82,0.9,1.24,1.1,1.71,2.34,2.07,4.1,1.15,2.32,2.29,2.78,1.95,1.57,,,
May,,,,,,,,2.75,2.44,1.05,1.99,0.85,2.64,2.49,1.47,2.57,2.69,3.13,3.03,0.71,3.36,1.07,0.64,1.72,4.99,2.49,3.05,,,
June,,,,,,,,2.64,2.6,3.58,2.13,2.21,3.97,1.33,2.16,1.14,1.24,2.2,1.03,0.99,2.02,0.49,0.46,0.34,1.95,0.05,1.49,,,
July,,,,,,,,2.07,2.51,3.12,1.98,0.37,2.38,1.4,4.51,4.96,1.47,2.13,3.54,2.4,3.21,0.45,4.53,3.42,3.94,2.41,1.86,,,
August,,,,,,,,2.86,3.51,1.96,3.81,2.11,6.59,1.71,1.5,2.92,2.41,5.21,1.63,2.72,0.9,3.34,2.29,2.48,3.33,3.1,2.62,,,
September,,,,,,,,0.74,1.81,2.85,0.57,1.41,0.71,1.58,0.9,0.87,1.25,1.44,5.74,1.57,1.98,0.56,2.25,1.94,3.2,3.54,0.82,,,
October,,,,,,,,5.71,2.01,3.36,2.7,1.92,2.78,4.45,1.83,2.47,4.51,2.98,1.55,2.69,3.25,1.85,0.43,3.59,3.79,3.24,2.25,,,
November,,,,,,,,2.42,1.88,0.54,4.27,3.05,2.57,2.47,3.18,2.59,2.89,1.39,1.75,1.26,0.59,2,0.95,1.77,1.86,1.64,5.32,,,
December,,,,,,,,2.72,2.58,4.08,4.76,5.36,3.2,1.31,6.56,5.16,2.56,0.88,2.92,3.29,2.36,1.91,3.72,3.03,3.16,2.55,0.48,,,
Total,,,,,,,,27.33,27.4,27.03,29.62,21.71,33.71,30.49,28.76,31.39,27.44,26.36,28.32,27.39,28.79,16.29,26.3,28.95,33.71,27.48,24.57,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Cantreyn from OS maps. Altitudes match. Relationships to church and station are wrong, in fact, given the relative positions of the church and station the relationships on the records are impossible!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 gauges for part of the time, assumed to be at the same location. The only differentiation between the gauges is the height of the gauge (above ground) one is 0.3 (LOW) and the other 3.0 (HIGH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are 19 years of overlapping records and only 3 months are exact matches. Interestingly the LOW gauge consistently measures more rainfall than the HIGH gauge, 6% on average for annual totals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
