TOOMEBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IH988905,Long,-6.466074,Lat,54.752893,Elevation,59,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.4,3.12,4.26,1.09,5.31,4.07,3.78,2.9,4.8,2.99,5.74,2.41,1.52,3.77,4.42,1.22,2.7,4.18,2.7,4.56,4.27,2.27,3.47
February,,,,,,,,1.55,2.81,2.6,2.16,1.54,1.85,0.65,3.3,2.19,0.99,2.1,2.19,2.69,2.51,1.19,1.17,3.94,2.51,1.12,2.49,3.46,1,2.77
March,,,,,,,,2.69,2.9,4.03,2.03,3.07,0.79,0.68,1.28,1.49,4.08,2.1,2.15,1.68,2.04,1.83,0.43,2.73,1.02,1.22,3.48,1.36,2.41,2.03
April,,,,,,,,0.1,1.88,3.5,1.67,2,2.12,2.52,1.47,0.69,3.04,1.65,2.08,3.98,1.43,1.33,1.36,0.64,2.08,1.01,1.76,1.26,2.66,2.53
May,,,,,,,1.71,3.02,1.29,1.75,2.34,3.77,3.52,1.76,4.64,1.01,3.71,1.27,1.7,1.31,1.67,1.55,1.37,3.91,2.8,1.07,2.41,1.7,1.01,2.65
June,,,,,,,1.99,4.11,2.3,1.43,0.41,0.39,2.63,1.52,3.71,3.17,3.53,3.42,0.89,1.88,3.22,1.84,3.01,2.54,3.74,3.43,1.97,4.63,2.21,2.43
July,,,,,,,4.29,4.79,4.76,3.63,3.63,3.96,1.66,4.28,5.24,4.28,4.46,3.68,2.68,7.1,3.41,1.47,3.86,3.19,1.06,3.64,4.5,4.93,3.37,5.59
August,,,,,,,3.34,2.47,2.18,0.83,3,5.3,5.56,3.08,1.76,4.68,0.42,3.33,2.43,5.08,5.21,6.49,2.41,1.87,0.79,7,3.25,3.32,0.94,4.85
September,,,,,,,1.86,2.63,3.04,2.58,1.08,5.07,2.36,4.73,2.23,5.59,2.51,3.76,2.96,7.11,2.22,1.47,3.41,3.5,3.62,3.05,4.02,4.99,1.5,2.72
October,,,,,,,2.6,6.58,2.44,4.48,4.63,2.81,3.82,4.2,3.44,1.33,1.87,3.11,4.84,3.18,1.15,4.23,1.73,6.07,2.28,2.44,2.82,2.26,4.72,3.26
November,,,,,,,1.42,5.08,4.17,4.65,4.06,0.74,2.9,3.87,0.71,3.5,4.4,3.46,2.88,2.1,5.36,3.14,2.13,4.21,2.12,1.88,1.17,1.66,3.42,3.08
December,,,,,,,2.98,3.5,3.12,4.42,1.44,3.71,1.91,4.23,3.19,4.09,2.07,5.87,4.4,3.36,4.1,3.73,3.26,3.84,3.7,3.74,4.85,3.91,5.8,2.67
Total,,,,,,,,40.92,34.01,38.16,27.54,37.67,33.19,35.3,33.87,36.82,34.07,39.49,31.61,40.99,36.09,32.69,25.36,39.14,29.9,32.3,37.28,37.75,31.31,38.05
