BRYNKINALT WEIR,,,,,,,,,,,,
Grid ref,SJ295373,Long,-3.050207,Lat,52.928458,,,,,,,
Station no,4286/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,6.45,,
February,,,,,,,,,0.40,4.29,,
March,,,,,,,,,2.17,1.78,,
April,,,,,,,,,4.68,1.53,,
May,,,,,,,,,2.70,2.98,,
June,,,,,,,,,,1.67,,
July,,,,,,,,,,3.00,,
August,,,,,,,,,0.36,4.60,,
September,,,,,,,,,0.49,4.44,,
October,,,,,,,,,2.43,6.03,,
November,,,,,,,,,4.61,6.68,,
December,,,,,,,,,7.42,3.15,,
Total,,,,,,,,,,46.60,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.26,46.60,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
