TUNBRIDGE-WELLS-RUSTHALL-GRANGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ566397,Long,0.2369208,Lat,51.135164,Elevation,340,ft,,,,,,,,,,,,,
Station no,329,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,4.15,2.57,3.66,2.15,3.41,1.05,5.21,6.89,3.95,,
February,,,,,,,,,,,1.48,2.71,0.56,2.38,0.28,5.36,2.28,5.24,0.66,,
March,,,,,,,,,,,1.01,0.38,2.05,3.59,3.62,0.42,1.46,4.36,0.82,,
April,,,,,,,,,,1.21,1.65,4.24,2.5,0.82,2.49,3.56,2.16,2.79,0.83,,
May,,,,,,,,,,2.42,2.85,2.75,2.9,2.16,0.93,1.83,0.25,2.39,3.18,,
June,,,,,,,,,,1.25,1.21,1.3,1.25,1.36,1.86,2.63,3.45,2.48,0.51,,
July,,,,,,,,,,1.88,2.59,2.38,3.03,2.36,1.74,0.81,3.81,0.96,1.73,,
August,,,,,,,,,,3.25,3.09,3.88,0.49,1.01,1.49,5.05,0.91,2.15,2.52,,
September,,,,,,,,,,0.39,3.37,2.41,2.22,4.01,1.59,4.99,2.92,2.23,2.77,,
October,,,,,,,,,,3.08,1.58,0.63,6.94,2.21,1.97,4.08,2.54,3.32,4.46,,
November,,,,,,,,,,9.18,5.86,4.96,1.46,1.38,3.66,7.25,5.62,1.47,3.65,,
December,,,,,,,,,,7.99,2.95,0.83,0.71,0.61,7.43,4.04,4.27,4.81,3.49,,
Total,,,,,,,,,,,31.79,29.04,27.77,24.04,30.47,41.07,34.88,39.09,28.57,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1929 Jan-Mar estimated,,,,,,,,,,,,,,,,,,,,,
