SHURLOCK-ROW-CROSSWAYS,,,,,,,,,,,,,,,,,,,,
Grid ref,SU832742,Long,-0.80380973,Lat,51.460671,Elevation,149,ft.,,,,,,,,,,,,
Station no,781/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,1.9,1.67,0.8,4.26,4.43,2.32,5.47,2.98,2.95,3.05,4.62,1.45,1.72,1.67,1.66,,,
February,,,3.17,0.09,2.33,1.9,4.49,0.43,0.95,2.19,2.34,0.89,1.22,1.25,1.64,2.37,1.81,,,
March,,,2.31,2.28,0.44,1.87,3.42,0.25,0.92,2.87,2.98,1.89,0.5,0.19,0.57,1.12,5.02,,,
April,,,1.27,1.51,3.07,1.82,2.4,0.06,2.78,1.59,1.76,1.28,1.07,1.3,1.18,2.01,1.62,,,
May,,,1.87,0.48,1.62,2.06,3.18,1.8,1.13,1.51,1.75,2.95,2.09,0.44,2.4,3.33,1.58,,,
June,,,3.24,1.15,3.58,3.54,1.8,0.51,1.19,0.87,1.96,0.52,1.66,1.65,2.91,3.01,2.3,,,
July,,,2.27,1.32,0.46,3.32,0.84,1.54,2.69,2.02,4.23,1.45,1.72,1.51,3.15,1.59,1.74,,,
August,,,0.44,3.2,2.05,0.3,1.71,2.55,1.81,0.18,4.86,1.81,1.75,1.22,1.33,3.87,0.24,,,
September,,,2.83,1.64,4.07,3.01,2.32,1.19,0.72,1.13,0.09,1.01,1.57,2.15,2.21,4.28,1.1,,,
October,,,1.44,1.66,2.75,1.76,2.47,2.79,4.88,3.19,1.24,3.33,3.54,3.4,3.58,0.76,0.25,,,
November,,,0.93,2.06,4.58,3.58,1.5,3.09,4.84,6.55,2.85,1.89,1.43,4.01,0.22,4.17,1.1,,,
December,,,0.5,6.17,2.6,2.19,3.17,2.73,1.22,1.36,1.55,2.69,2.04,1.7,2.56,2.42,2.56,,,
Total,,,22.17,23.23,28.35,29.61,31.73,19.26,28.6,26.44,28.56,22.76,23.21,20.27,23.47,30.6,20.98,,,
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940s record and is in Shurlock Row with correct relationship to church. Altitudes match.,,,,,,,,,,,,,,,,,,,,
"Gauge moved 250 yards S in 1944, not sure if the quoted NGR is before or after the move. The name has been changed to Lewins, which is at SU832745, 300m N!",,,,,,,,,,,,,,,,,,,,
