HULL - THE PARK,,,,,,,,
Grid ref,TA076291,Long,-0.370,Lat,53.747,Elevation,15,ft
Station no,RR6521,,,,,,,
,,,,,,,,
,1877,1878,1879,1880,,,,
January,2.47,2.64,1.05,0.20,,,,
February,2.03,1.17,3.21,1.35,,,,
March,2.16,1.13,1.20,1.51,,,,
April,3.65,1.26,1.14,1.44,,,,
May,1.37,2.36,3.49,1.47,,,,
June,1.79,2.05,3.50,2.09,,,,
July,2.50,0.80,3.36,4.63,,,,
August,4.60,4.58,2.54,1.81,,,,
September,4.02,2.29,2.31,4.86,,,,
October,1.77,2.57,0.78,6.28,,,,
November,1.79,4.08,1.66,1.98,,,,
December,1.85,1.96,0.96,,,,,
Total,30.00,26.89,25.20,,,,,
,,,,,,,,
TYRain_1870-1879_08_pt2/007,,,,,,,,
TYRain_1880-1889_11_pt1/003,,,,,,,,
,,,,,,,,
"# Location unclear, no detail on which park. The grid reference given is for West Park, but East Park (TA119311) is another option.",,,,,,,,
"# Pearson Park is another possibility, but there is already a separate set of sheets for Pearson Park at this time, making it a less likely location.",,,,,,,,
