HAMPSTEAD-NORRIS,,,,,,,,,,,,,,,,,,,,
Grid ref,SU529766,Long,-1.2395363,Lat,51.485885,Elevation,300,ft.,,,,,,,,,,,,
Station no,RR4198,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,,,3.79,0.62,3.56,1.57,1.33,3.21,3.39,2.82,2.95,3.1,1.61,3.42,2.2,3.09,,,
February,,,,0.98,3.13,5.01,3.85,1.02,1.33,2.38,0.5,0.51,2.98,3.91,0.39,3.79,2.02,,,
March,,,,2.55,4.58,1,3.86,2.13,0.94,4.82,1.7,1.22,2.5,2.85,1.08,0.57,0.59,,,
April,,,,3.69,0.7,1.15,0.82,1.51,3.09,2.21,3.45,0.86,3.36,3.15,2.91,2.43,2.94,,,
May,,,,2.22,1.81,3.74,1.89,1.56,1.59,0.4,1.57,1.77,1.21,1.4,4.6,3.47,2.21,,,
June,,,,0.6,1.54,1.46,1.99,2.6,0.68,1.14,2.78,0.24,1.56,0.49,2.45,0.02,2.68,,,
July,,,,1.68,3.02,3.83,1.11,5.3,5.14,1.57,5.87,0.21,5.7,1.3,3.81,4,2.61,,,
August,,,,1.23,1.77,2.53,4.68,5.23,1.21,3.35,1.29,1.64,3.88,2.57,2.53,2.57,1.53,,,
September,,,,1.85,0.91,3.04,1.37,1.82,5.11,1.87,1.23,2.4,1.77,1.92,4.18,2.81,0.87,,,
October,,,3.07,4.4,2.85,3.33,4.18,4.43,2,1.65,2.76,1.3,1.05,5.06,3.59,3.14,2.17,,,
November,,,2.08,2.94,3.07,1.97,3.93,0.63,2.64,2.01,1.53,1.92,1.38,2.04,2.57,2.33,5.01,,,
December,,,3.21,1.12,6.74,5.91,3.37,1.22,2.34,5.35,2.53,1.52,2.96,2.53,4.56,2.68,0.62,,,
Total,,,,27.05,30.74,36.53,32.62,28.78,29.28,30.14,28.03,16.54,31.45,28.83,36.09,30.01,26.34,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the part of Hampstead Norris (also Norreys) which broadly matches the distance to the church and station (there are no compass directions) as well as the stated altitude. NGR could be +/- 250m,,,,,,,,,,,,,,,,,,,,
