UPHALL (HOUSTOUN HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,NT049708,Long,-3.523313,Lat,55.920847,Elevation,420,ft,,,,,,,,,,,,
Station no,5151/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,4.88,3.36,3.37,1.41,4.26,3.08,4.85,5.42,1.79,1.9,4.14,3.07,3.65,3.4,3.31,3.07,6.72,2.93,1.41
February,,0.15,2.14,0.2,2.72,2.82,3.81,0.98,3.27,1.04,3.84,1.44,2.49,1.07,4.53,2.54,1.54,3.02,,1.87
March,,2.29,1.39,3.12,1.23,2.14,1.9,1.95,4.05,3.03,2.98,1.57,2.03,0.58,2.09,2.27,4.25,1.85,,
April,,3.31,1.58,3.77,2.75,1.06,1.23,0.32,1.57,2.53,1.1,2.79,1.36,2.31,1.53,0.61,4.64,2.22,2.34,
May,,3.36,2.28,1.38,0.81,0.92,2.08,4.9,0.62,2.12,5.81,1.9,3.79,2.96,4.2,2.34,3.2,1.69,1.83,
June,,1.55,1.59,2.72,2.11,1.53,1.87,3.85,1.67,0.46,0.62,1.06,3.17,3.27,2.91,2.37,3.27,5.17,,
July,,2.52,4.18,3.45,1.14,5.05,3.42,2.99,3.85,6.56,3.28,2.33,2.47,2.87,3.16,3.59,2.72,3.12,,
August,3.96,0.81,1.69,3.46,1.52,1.63,4.94,1.85,0.98,1.22,4.06,2.47,4.43,4.03,2.9,4.13,0.04,7.26,,
September,1.54,3.09,2.02,2.45,4.47,3.19,2.59,3.54,1.94,2.81,0.88,3.87,3.54,4.21,5.55,4.71,2.2,4,,
October,2.43,5.18,2.53,4.59,7.08,2.74,4.33,6.76,2.69,3.31,3.74,3.57,4.86,3.95,4.17,0.74,1.47,3.18,5.26,
November,4.87,2.68,1.7,1.11,4.82,3.03,0.54,5.86,5.45,4.22,1.73,0.65,1.28,6.81,0.91,4.48,4.44,3.76,,
December,1.98,6.67,0.67,3.21,1.52,3.41,2.32,2.79,1.34,3.21,1.68,2.44,1.49,3.35,2.53,2.69,2.85,3.13,,
Total,,36.49,25.13,32.83,31.58,31.78,32.11,40.64,32.85,32.3,31.62,28.23,33.98,39.06,37.88,33.78,33.69,45.12,,
,,,,,,,,,,,,,,,,,,,,
"1949 Feb 2.79, Mar 1.45, Nov 3.21, Dec 5.84 estimated therefore removed",,,,,,,,,,,,,,,,,,,,
