PORT-SUNLIGHT-NEW-GAUGE,,,,,,,,,,
Grid ref,SJ336842,Long,-2.9989597,Lat,53.3505,Elevation,50,ft.,,
Station no,2786/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.13,2.82,2.15,3.48,1.26,3.08,3.63,5.46
February,,,1.32,2.56,2.04,0.37,2.28,5.22,0.28,1.85
March,,,1.03,2.12,1.94,1.25,1.69,1.5,1.38,1.39
April,,,2.14,0.74,1.47,2.37,0.4,0.75,3.53,1.35
May,,,2.13,2.85,3.01,0.78,1.49,2.7,1.57,2.23
June,,,1.54,3.61,3.58,2.04,1.85,5.06,2.81,0.98
July,,,2.34,3.84,0.5,4.57,4.24,4.5,3.52,3.59
August,,,3.16,4.28,1.61,11.12,3.59,4.75,1.7,5.42
September,,,3.18,2.35,2.73,2.2,7.8,5.12,0.15,4.11
October,,,1.56,5.86,2.22,2.74,2.62,3.02,3.41,4.13
November,,,2.79,5.75,1.35,1.73,1.3,2.06,4.58,6.57
December,,,1.43,3.76,3.56,2.46,2.69,3.67,4.85,3.63
Total,,,23.75,40.54,26.16,35.11,31.21,41.43,31.41,40.71
,,,,,,,,,,
NGR is from the 1950s record and is in Port Sunlight near the Old Gauge,,,,,,,,,,
