PORT-SUNLIGHT-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ336843,Long,-2.9989807,Lat,53.351399,Elevation,50,ft.,,,,,,,,,,,,
Station no,2786/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.15,2.16,3.25,1.18,2.87,2.37,3.6,1.24,,,
February,,,,,,,,,1.39,5.05,2.56,1.17,1.5,2.71,2.21,0.37,2.27,,,
March,,,,,,,,,2.71,1.36,4.95,1.7,1.07,2.25,1.99,1.29,1.68,,,
April,,,,,,,,,2.78,3.47,1.28,1.54,2.24,0.78,1.55,2.62,0.4,,,
May,,,,,,,,,2.89,0.84,2.68,2.42,2.16,3,3.19,0.85,1.51,,,
June,,,,,,,,,0.71,1.94,1.2,2.24,1.6,3.71,3.85,2.06,1.85,,,
July,,,,,,,,,2.44,1.93,1.27,1.86,3.31,4.04,0.5,4.69,4.27,,,
August,,,,,,,,,2.13,5.27,5.22,1.77,3.23,4.44,1.47,11.3,3.6,,,
September,,,,,,,,,1.19,5.06,2.75,4.29,3.32,2.46,2.8,2.32,7.79,,,
October,,,,,,,,,3.33,2.33,1.07,4.02,1.6,6.06,2.23,2.84,2.7,,,
November,,,,,,,,,5.17,4.38,6.55,2.84,2.91,6.02,1.45,1.75,1.33,,,
December,,,,,,,,,4.95,3.97,4.4,3.77,1.51,3.95,3.77,2.4,2.75,,,
Total,,,,,,,,,,36.75,36.09,30.87,25.63,42.29,27.38,36.09,31.39,,,
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is in Port Sunlight with the stated relationship to church and station. Altitudes match.,,,,,,,,,,,,,,,,,,,,
Moved to Oval in 1958,,,,,,,,,,,,,,,,,,,,
