EDGBASTON SUMMERFIELD CRESCENT,,,,,,,,,,
Grid ref,SP042870,Long,-1.939586,Lat,52.480909,Elevation,510,ft,,
Station no,RR8870,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,4.08,1.61,1.7,2.33,,,,,,
February,3.27,1.7,1.69,1.84,,,,,,
March,,2.35,1.7,5.46,,,,,,
April,0.7,2.15,2.02,1.67,,,,,,
May,2.51,1.26,3.16,3.18,,,,,,
June,2.57,0.99,2.52,1.87,,,,,,
July,2.07,3.86,1.85,2.36,,,,,,
August,3.31,2.52,4.82,5.86,,,,,,
September,0.84,0.75,1.75,3.2,,,,,,
October,3.63,1.98,2.92,7.31,,,,,,
November,2.63,1.3,2.52,,,,,,,
December,4.69,4.37,2.3,,,,,,,
Total,,24.84,28.95,,,,,,,
