SMEATON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT593785,Long,-2.6539,Lat,55.9981,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,0.34,0.57,3.47,1.05,2.89,1.99,3.32,1.81,2.86,1.72,1.8,1.95,1.32,2.28,1.12,0.83,0.3,1.56,0.79,2.25,0.65,3.53,3.01,0.96,2.03,,,,3.02,1.23,2.51,2.79,0.76,2.47,2.26,4.4,2.3,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,0.79,,0.75,1.83,1.87,1.73,2.69,1.19,1.37,1.45,0.69,1.78,1.96,1.09,0.66,0.26,3.84,0.47,0.85,0.22,1.26,2.08,0.3,1.46,1.87,,,,0.71,0.57,1.41,0.66,2.41,0.59,3,0.91,1.35,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,0.89,,1.09,1.97,3.86,1.81,1.65,1.57,0.51,0.82,2.12,0.53,1.34,1.37,0.98,0.15,2.54,0.88,0.28,2.4,0.6,0.5,0.8,0.72,0,,,,1.16,1.88,3.55,0.64,3.17,0.72,2.02,1.22,1.21,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.93,,0.71,1.59,1.81,2.37,1.69,0.43,0.21,0.96,0.05,0.33,0.26,0.65,1.3,0.47,1.27,1.61,0.58,1.45,0.2,1.13,0.43,0.26,1.78,,,,0.68,1.49,1.28,1.3,0.71,0.8,0.88,1.78,3.41,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.06,,0.65,2.66,0.72,1.29,2.13,0.63,3.09,0.64,2.11,3.72,0.36,1.52,1.47,3.22,1.07,1.69,2.47,0.1,1.23,0.25,1.85,1.29,2.35,,,,0.69,0.87,2.8,1.11,1.19,4.18,0.75,1.89,2,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,3.01,,1.91,0.51,1.95,2.09,6.87,3.81,2.19,2.46,1.09,1.27,2.92,4.02,2.2,2.86,3.99,0.73,0.88,1.61,2.91,1.9,2.93,2.39,3.48,,,,3.34,1.78,3.02,2.45,1.46,0.55,1.32,1.76,0.44,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,0.43,,3.81,1.6,5.62,5.32,2.76,2.1,3.53,3.05,1.59,3.77,2.54,1.57,4.18,1.32,1.17,1.59,1.24,1.55,1.15,2.1,0.9,3.94,1.6,,,,0.5,3.51,2.46,0.6,1.23,3.31,3.67,7.44,0.48,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,4.91,,1.87,2.18,2.66,2.93,2.9,2.61,3.36,3.96,1.6,1.83,2.4,4.86,3.83,0.93,1.37,1.65,1.97,2.45,1.5,2.75,2.25,2.52,3.56,,,,1.5,3.08,2.99,4.42,1.07,1.91,2.28,1.68,3.01,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.42,1.13,,4.74,4.4,2.55,1.7,3.72,5.97,3.08,1.86,1.92,1.04,1.7,3.33,4.24,0.9,1.44,0.58,1.45,1.4,2.46,0.81,0.26,0.29,4.09,,,,0.92,3.09,1.99,2.72,1.87,0.57,2.09,1.08,3.51,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,2.18,3.73,,1.93,2.03,2.27,1.51,1.61,2.99,3.37,4.31,0.91,5.14,1.28,4.69,2.98,2.77,5.36,1.53,0.95,0.73,1.74,3.17,1.05,1.91,0.89,,,,2.31,1.55,2.26,1.67,10.34,5.38,1.03,1.12,0.64,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,1.86,1.74,,2.25,2.92,5.09,1.13,2.78,3.36,2.43,2.72,1.99,1.94,3.27,0.86,1.2,0.73,0.85,0.68,1.46,0.44,3.05,0.27,3.3,1.24,1.3,,,,2.5,4.22,0.8,1.99,1.93,0.5,1.95,0.51,0.97,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
