HEREFORD EIGN STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO505400,Long,-2.7224207,Lat,52.056858,Elevation,190,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,3.75,,
February,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,1.37,,
March,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,1.57,1,
April,,,,,,0.5,1.7,,,,,,,,,,,,,,,,,,,,,2.38,2.74,
May,,,,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,1.87,4.68,
June,,,,,,3.4,1.3,,,,,,,,,,,,,,,,,,,,,1.01,1.76,
July,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,2.72,1.3,
August,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,4.89,6.56,
September,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1.75,2.53,
October,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,1.81,3.9,
November,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,2.75,,
December,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,1.55,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.42,,
