"CROFT HOUSE, BRAMPTON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY527612,Long,-2.7398989,Lat,54.943205,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,4.63,5.37,3.88,3.5,-999,,,,,,,,,,,,,,,,,,,,3.23,,,,
February,,2.5,3.38,1,1.62,-999,,,,,,,,,,,,,,,,,,,,1.49,,,,
March,,2.25,0.37,0.87,1,-999,,,,,,,,,,,,,,,,,,,,1.31,,,,
April,,1,1,1.5,0.63,-999,,,,,,,,,,,,,,,,,,,,0.8,,,,
May,,0.25,1.75,0.75,3.5,-999,,,,,,,,,,,,,,,,,,,,1.83,,,,
June,,2,2.25,,4,3.5,,,,,,,,,,,,,,,,,,,0.82,3.12,,,,
July,,4.25,1.75,4,3,3.38,,,,,,,,,,,,,,,,,,,1.89,4.53,,,,
August,,4,5.13,,4.25,3.75,,,,,,,,,,,,,,,,,,,7.18,2.42,,,,
September,,1.75,2.12,,2.88,1,,,,,,,,,,,,,,,,,,,5.55,4.32,,,,
October,,3.75,3.38,2.25,4.37,4,,,,,,,,,,,,,,,,,,,6.06,2.77,,,,
November,,1,3.37,1.75,2.5,2.5,,,,,,,,,,,,,,,,,,,4.55,4.03,,,,
December,,1.25,7.5,0,4.25,1.12,,,,,,,,,,,,,,,,,,,2.09,2.86,,,,
Total,,28.63,37.37,,35.5,27.5,,,,,,,,,,,,,,,,,,,,32.71,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1855 Jan-Feb-March bracketed 4.5""; April-May bracketed 3.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
