"ARDCLACH (GLENFERNESS)",,,,,,,,,,,,
Grid ref,NH936428,Long,-3.775302,Lat,57.462959,,,,,,,
Station no,5684,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.82,3.94,1.93,2.65,1.14,2.51,3.26,2.85,5.40,3.93,,
February,2.95,2.11,2.60,1.76,2.50,2.91,2.48,4.13,0.95,2.68,,
March,3.62,1.95,1.47,2.88,2.37,1.44,3.61,2.75,0.87,1.08,,
April,5.84,1.46,3.71,1.24,1.13,2.18,1.02,2.03,3.27,2.79,,
May,1.02,1.60,3.57,5.78,3.25,1.43,1.43,4.22,0.99,0.49,,
June,5.08,3.31,5.24,3.87,1.12,4.07,2.47,3.10,2.72,3.89,,
July,5.11,2.35,5.66,5.25,0.55,11.51,6.55,5.77,2.76,2.80,,
August,6.45,4.99,2.39,2.54,0.90,7.36,7.90,4.87,1.65,9.77,,
September,0.94,3.87,2.24,3.02,2.13,3.35,2.17,2.05,0.74,3.05,,
October,1.87,2.96,1.24,7.16,5.19,3.92,1.74,2.34,3.96,4.82,,
November,5.33,4.19,2.46,2.33,0.97,1.95,3.93,1.01,3.87,1.21,,
December,3.91,4.28,2.77,6.08,6.43,3.30,3.03,2.36,2.60,2.36,,
Total,44.94,37.01,35.28,44.56,27.68,45.93,39.59,37.48,29.78,38.87,,
Calc annual,44.94,37.01,35.28,44.56,27.68,45.93,39.59,37.48,29.78,38.87,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
