INVERGARRY SCHOOL HOUSE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5710/5,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,13.05,14.02,5.12,,,,,,17.17,1.49,14.15,
February,15.41,2.59,8.81,,,,,,10.02,0.92,0.65,
March,7.79,11.61,3.59,,,,,,4.69,1.32,3.00,
April,2.69,1.39,2.99,,,,,,2.89,2.32,1.44,
May,5.30,3.89,6.58,,,,,,1.59,2.78,3.08,
June,2.23,0.70,2.66,,,,,,4.88,3.32,2.94,
July,3.61,3.90,4.14,,,,,,2.94,4.00,2.07,
August,3.70,3.69,3.13,,,,,,3.36,4.02,6.23,
September,3.68,3.54,1.97,,,,,,5.89,2.84,6.06,
October,1.41,9.36,,,,,,,8.21,9.43,9.83,
November,7.97,1.19,,,,,,,8.08,8.26,6.28,
December,5.54,12.04,,,,,,,6.73,12.30,4.55,
Total,72.38,67.92,,,,,,,76.45,53.00,60.28,
Calc annual,72.38,67.92,38.99,0.00,0.00,0.00,0.00,0.00,76.45,53.00,60.28,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,
