INVERGARRY THE SCHOOL HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 30298 01054,Long,-4.800743,Lat,57.069151,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5710/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,8.38,6.31,16.95,,,,13.05,14.02,5.12,,,,,,17.17,1.49,14.15,7.7,16.82,9.97,12.51,5.05,,,,,
February,,,,6.77,10.24,6.02,10.37,,,,15.41,2.59,8.81,,,,,,10.02,0.92,0.65,6.4,0.3,4.86,2.07,11.05,,,,,
March,,,,10.74,5.63,4.04,2.03,,,,7.79,11.61,3.59,,,,,,4.69,1.32,3,0.99,2.9,3.37,5.11,2.94,,,,,
April,,,,5.79,7.46,6.82,4.92,,,,2.69,1.39,2.99,,,,,,2.89,2.32,1.44,3.34,6.71,3.65,5.08,1.88,,,,,
May,,,,3.69,3.39,0.89,3.92,,,,5.3,3.89,6.58,,,,,,1.59,2.78,3.08,5.61,2.98,1.37,2.95,0.75,,,,,
June,,,,5.54,1.68,1.22,3.21,,,,2.23,0.7,2.66,,,,,,4.88,3.32,2.94,4.63,0.55,1.81,1.55,3.95,,,,,
July,,,,1.65,1.76,3.42,3.95,,,,3.61,3.9,4.14,,,,,,2.94,4,2.07,4.65,4.2,3.48,3.5,1.47,,,,,
August,,,,1.38,3.93,1.93,2.26,,,,3.7,3.69,3.13,,,,,,3.36,4.02,6.23,2.52,4.16,4.8,4.72,3.85,,,,,
September,,,,2.67,3.28,3.28,3.36,,,,3.68,3.54,1.97,,,,,,5.89,2.84,6.06,1.19,6.17,1.36,6.76,8.33,,,,,
October,,,,5.93,1.48,2.87,11.46,,,,1.41,9.36,,,,,,,8.21,9.43,9.83,4.85,10.43,8.01,9.34,10.09,,,,,
November,,,,10.84,11.35,3.21,8.09,,,,7.97,1.19,,,,,,,8.08,8.26,6.28,10.68,9.82,2.39,1.3,5.42,,,,,
December,,,,8.1,12.59,6.29,7.24,,,,5.54,12.04,,,,,,,6.73,12.3,4.55,8.56,9.79,1,7.2,1.25,,,,,
Total,,,,,71.17,46.3,77.76,,,,72.38,67.92,,,,,,,76.45,53,60.28,61.12,74.83,46.07,62.09,56.03,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 Jan Est Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5710/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
