ALLEAN PITLOCHRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 86609 60415,Long,-3.854465,Lat,56.721587,Elevation,1200,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5561/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,5.1,3.83,8.68,1.59,3.79,3.02,4.26,4.81,5.09,1.76,4.93,8.71,5.51,2.66,1.62,1.4,,,,,,,,,
February,,,,,,,4.91,1.51,3.01,2.28,0.56,1.94,0.11,3.29,0.41,4.27,2.7,3.56,1.71,3.22,1.13,3.77,,,,,,,,,
March,,,,,,,2.02,3.24,6.04,0.61,1.49,0.63,2.32,1.75,1.95,2.08,2,1.04,1.07,3.02,2.44,1.08,,,,,,,,,
April,,,,,,,2.04,1.79,0.33,1.22,1.62,1.96,2.84,0.87,2.45,3.14,1.24,1.12,0.34,1.28,3.27,1.15,,,,,,,,,
May,,,,,,,2.56,2.45,1.05,4.72,2.17,4.4,2.38,2.24,2.22,0.42,0.74,2.98,2.94,0.98,0.94,2.39,,,,,,,,,
June,,,,,,,3.14,3.61,3.06,2.66,1.52,4.5,0.35,0.86,1.1,8.44,1.98,1.23,4.23,1.16,0.37,0.73,,,,,,,,,
July,,,,,,,2.46,4.4,1.08,3.75,2.57,5.83,4.23,2.87,4.02,0.84,4.73,4.02,3.95,5.05,4.67,,,,,,,,,,
August,,,,,,,1.93,4.83,5.85,5.41,7.26,2.08,1.56,1.39,3.96,1.84,2.33,4.06,2.26,1.79,1.22,,,,,,,,,,
September,,,,,,,2.07,3.66,3.31,1.1,3.91,0.93,2.21,1.94,5.18,4.67,2.81,2.11,3.71,2.47,1.58,,,,,,,,,,
October,,,,,,,5.87,3.82,5.44,5.54,4.66,1.98,6.9,2.73,4.73,6.32,3.45,3.57,6.47,6.3,5.65,,,,,,,,,,
November,,,,,,,5.01,3.1,4.39,3.48,5.39,6.54,2.32,2.94,0.32,4.5,2.92,0.49,5.8,6.31,5.4,,,,,,,,,,
December,,,,,,,0.69,1.24,3.34,7.7,4.58,2.15,5.67,0.68,7.78,2.8,4.95,1.14,3.88,2.12,2.95,,,,,,,,,,
Total,,,,,,,37.8,37.48,45.58,40.06,39.52,35.96,35.15,26.37,39.21,41.08,34.78,34.03,41.87,36.36,31.24,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Jan Feb estd for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5561/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
