AFON-RHEIDOL-NANT-Y-MOCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN763871,Long,-3.822374,Lat,52.467781,Elevation,1060,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,4129/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,16.73,,3.99,10.29,8.47,10.32,5.36,9.67,5.29,15.24,6.31,3.8,8.46,7.75,4.36,6.88,4.12,8.54,,,7.3,8.42
February,,,,,,,,,8.66,7.32,6.16,3.4,6.32,4.95,10.87,9.86,2,5.14,3.39,10.54,7.64,4.39,5.13,5.77,3.81,1.44,,11.76,1.97,6.16
March,,,,,,,,,4.08,5.77,6.8,3.83,2.3,1.49,4.2,2.37,7.02,4.97,5.52,3.59,10.49,5.36,5.48,4.49,3.62,2.51,7.69,2.08,4.35,3.16
April,,,,,,,,,4.87,4.23,3.63,3.05,2.87,4.08,3.87,2.22,4.66,3.65,7.1,7.56,5.89,3.52,6,2.9,7.19,2.11,0.93,3.28,6.08,4.84
May,,,,,,,,,1.3,2.72,5.86,6.53,5.41,3.9,6.22,2.81,3.71,3.25,6.99,1.61,2.85,3.65,4.47,4.23,7.6,2.99,3.14,,1.75,2.03
June,,,,,,,,,4.11,0.96,1.06,1.28,8.99,6.79,6.06,6.7,3.81,8.45,1.24,4.85,2.97,6.78,2.66,7.39,8.47,4.5,,,3.75,4.34
July,,,,,,,,,12.63,11.62,5.07,10.2,6.69,5.64,2.7,4.18,5.37,5.55,6.24,6.63,6.51,3.22,11.77,12.06,1.83,6.98,,7.6,4.93,8.18
August,,,,,,,,,4.97,3.83,9.9,6.52,9.16,3.91,5.46,9.91,0.71,7.79,3.3,11.66,9.91,5.46,8.84,10.03,2.36,10.1,10.33,5.81,1.52,6.68
September,,,,,,,,,3.16,8.26,1.43,7.61,9.95,7.46,4.3,10.3,4.97,8.4,2.52,16.98,7.05,6.19,8.05,7.24,7.96,6.69,12.07,11.99,1,10.63
October,,,,,,,,,3.54,6.54,9.03,10.99,7.99,9.5,4.29,1.68,1.6,6.43,9.88,6.65,3.13,7.4,3.37,16.79,4.87,5.23,11.61,7.76,11.11,5.54
November,,,,,,,,,16.35,14.61,4.12,0.97,8.06,11.98,1.1,9.37,9.04,7.55,9.53,9.65,11.69,6.06,8.75,10.75,2.55,4.38,4.87,5.25,9.23,11.34
December,,,,,,,,,7.86,8.5,7.7,9.74,4.15,5.06,6.47,6.43,9.36,7.89,10.75,5.32,12.55,8.83,,12.15,8.55,7.57,7.82,5.6,11.25,11.16
Total,,,,,,,,,88.26,,64.75,74.41,80.36,75.08,60.9,75.5,57.54,84.31,72.77,88.84,89.14,68.61,,100.68,62.93,63.04,,,64.24,82.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Jan IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Jan Feb Jun Jul estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Jan May Jun estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
