"AFON RHEIDOL (NANT-Y-MOCH)",,,,,,,,,,,,
Grid ref,SN763871,Long,-3.822374,Lat,52.467781,,,,,,,
Station no,4129/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.46,7.75,4.36,6.88,4.12,-999.00,8.74,5.34,7.30,8.42,,
February,7.64,4.39,5.13,5.77,3.81,1.44,5.87,11.76,1.97,6.16,,
March,10.49,5.36,5.48,4.49,3.62,2.51,7.69,2.08,4.35,3.16,,
April,5.89,3.52,6.00,2.90,7.19,2.11,0.93,3.28,6.08,4.84,,
May,2.85,3.65,4.47,4.23,7.60,2.99,3.14,5.91,1.75,2.03,,
June,2.97,6.78,2.66,7.39,8.47,4.50,3.05,6.38,3.75,4.34,,
July,6.51,3.22,11.77,12.06,1.83,6.98,10.84,7.60,4.93,8.18,,
August,9.91,5.46,8.84,10.03,2.36,10.10,10.33,5.81,1.52,6.68,,
September,7.05,6.19,8.05,7.24,7.96,6.69,12.07,11.99,1.00,10.63,,
October,3.13,7.40,3.37,16.79,4.87,5.23,11.61,7.76,11.11,5.54,,
November,11.69,6.06,8.75,10.75,2.55,4.38,4.87,5.25,9.23,11.34,,
December,12.55,8.83,2.34,12.15,8.55,7.57,7.82,5.60,11.25,11.16,,
Total,89.14,68.61,71.22,100.68,62.93,63.04,86.96,78.76,64.24,82.48,,
Calc annual,89.14,68.61,71.22,100.68,62.93,54.50,86.96,78.76,64.24,82.48,,
Difference,0.00,0.00,0.00,0.00,0.00,8.54,-0.00,0.00,0.00,0.00,,
