WADEBRIDGE-GUINEA-PORT,,,,,,,,,,,,,,,,,,,,
Grid ref,SW993720,Long,-4.8322,Lat,50.5133,Elevation,23,ft,,,,,,,,,,,,
Station no,RR7788,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,4.83,3.55,3.19,6.37,5.99,6.27,,,,,
February,,,,,,,,,,3.8,2.55,2.7,6.25,1.61,3.39,,,,,
March,,,,,,,,,,2.38,2.16,1.58,4.43,4.6,2.33,,,,,
April,,,,,,,,,,1.24,0.37,3.93,5.12,0.55,1.94,,,,,
May,,,,,,,,,,4.22,1.97,0.35,1.6,1.69,1.73,,,,,
June,,,,,,,,,,1.11,0.6,0.93,3.24,1.61,2.7,,,,,
July,,,,,,,,,,0.4,1.77,4.01,3.22,3.41,2.23,,,,,
August,,,,,,,,,,0.76,2.6,1.68,2.13,5.55,2.67,,,,,
September,,,,,,,,,,4.74,2.95,7.05,4.17,4.24,6.16,,,,,
October,,,,,,,,,,2.62,5,6.29,6.83,3.96,4.86,,,,,
November,,,,,,,,,,2.96,3.37,2.24,5.77,4.27,3.22,,,,,
December,,,,,,,,,,5.39,2.57,3.42,6.21,0.9,6.07,,,,,
Total,,,,,,,,,,34.45,29.46,37.37,55.34,38.38,43.57,,,,,
,,,,,,,,,,,,,,,,,,,,
Exact house unknown but NGR points to only houses shown on 1888 OS map,,,,,,,,,,,,,,,,,,,,
