PITREAVIE CASTLE,,,,,,,,,,
Grid ref,NT117848,Long,-3.419141,Lat,56.047893,Elevation,130,ft,,
Station no,5473/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.99
February,,,,,,,,,,1.89
March,,,,,,,,,,1.29
April,,,,,,,,,,1.13
May,,,,,,,,,,1.98
June,,,,,,,,,,1.39
July,,,,,,,,,,3.02
August,,,,,,,,,,4.21
September,,,,,,,,,0.68,1.22
October,,,,,,,,,1.58,4.02
November,,,,,,,,,5.62,2.67
December,,,,,,,,,3.29,2.68
Total,,,,,,,,,,28.49
,,,,,,,,,,
Station no,5473/1,,,,,,,,,
Midas,227,,,,,,,,,
Hyd Stn,888816,,,,,,,,,
