"PITREAVIE CASTLE, INVERKEITHING",,,,,,,,,,,,,,,,,,,,,
Grid ref,NT117848,Long,-3.419141,Lat,56.047893,Elevation,150,ft,,,,,,,,,,,,,
Station no,5473,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.5,2.75,2.65,3.66,1.9,4.76,0.92,2.75,1.5,,,,,,,,,
February,,,,3.1,0.73,3.23,3.86,1.71,2.81,1.14,1.05,1.8,,,,,,,,,
March,,,,0.63,1.07,1.92,1.29,1.86,2.75,0.35,2.1,1.3,,,,,,,,,
April,,,,2.76,1.3,2.61,1.43,1.28,0.93,1.59,1.3,2.22,,,,,,,,,
May,,,,0.83,4.65,4,2.41,1.8,1.45,1.9,1.28,3.42,,,,,,,,,
June,,,,1.24,1.84,0.35,2.88,2.95,4.1,1.85,1.75,4.25,,,,,,,,,
July,,,,2.75,4.5,1.82,3.7,2.24,1.84,2.89,3.27,5.4,,,,,,,,,
August,,,,5.3,3.3,3.38,1.7,6.38,5.3,4,5.29,4.37,,,,,,,,,
September,,,,1.99,3.24,3.24,3.62,5.41,2.47,0.5,3.19,1.25,,,,,,,,,
October,,,,2.39,3.7,2.3,4.26,4.1,3.57,3.5,3.52,1.5,,,,,,,,,
November,,,,3,1.69,0.82,4.39,1.69,2.57,4.26,3.52,5,,,,,,,,,
December,,,,2.5,3.5,1.87,0.52,1.91,3.21,3.46,2.06,1.1,,,,,,,,,
Total,,,,27.99,32.27,28.19,33.72,33.23,35.76,26.36,31.08,33.11,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"n.b. Annual values 1923-27 rejected from survey as 2"" too low",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5473,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
