CHEW-STOKE-HERONS-GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST557591,Long,-2.63647,Lat,51.32971,Elevation,179,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1973/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.76,4.24,5.51,4.73,5.04,2.36,3.64,4.25,6.78,2.38,2.6,3.39,3.03,7.82,1.03,0.62,3.95,3.71,0.61,2.44,3.58,5.89,2.9,3.28,4.9,4.12
February,,,,,3.54,2.92,6.13,1.31,2.42,2.94,3.4,0.22,2.12,0.72,3.37,3.58,1.47,2.16,1.93,8.74,6.06,0.68,2.13,4.15,2.53,0.28,3.73,4.36,0.3,2.82
March,,,,,0.71,3.35,3.99,0.17,1.6,2.86,3.85,2.37,1.11,0.33,1.24,1.1,6.36,2.1,1.56,1.72,3.62,3.61,0.9,3.67,1.39,1.24,2.81,1.29,4.32,2.56
April,,,,,4.94,2.23,2.95,0.21,3.95,2.19,1.07,1.39,1.12,2.82,1.26,2.85,3.09,1.74,2.03,3.29,4.35,2.07,3.75,0.38,1.55,1.46,0.08,1.39,3.52,1.92
May,,,,,1.28,1.15,2.82,2.25,0.89,2.96,1.68,6.48,2.99,1.32,3.02,4.56,3.03,4.97,4.41,2.27,2.86,3.82,2.32,3.06,4.31,0.75,2.18,3.16,1.29,1.22
June,,,,,3.88,2.92,1.43,1.31,2.53,0.72,2.76,0.34,1.35,2.84,4.17,4.22,1.98,2.4,0.5,1.75,0.99,3.4,2.41,4.71,3.15,2.71,1.94,3.15,1.36,4.09
July,,,,,0.45,5.93,2.6,3.18,4.28,5.27,1.56,3.88,2.27,2.4,1.5,1.37,2.76,1.64,1,6.49,0.9,0.99,3.79,3.48,0.28,3.07,4.38,3.45,2.14,5.81
August,,,,,1.72,0.53,1.17,4.47,2.45,0.28,5.35,4.71,5.63,2.86,2.3,4.58,1.18,6.13,2.58,6.39,6,5.17,3.68,2.89,0.55,3,5.07,4.6,1.11,4.8
September,,,,,6.94,3.71,2.49,3.54,0.87,1.66,0.6,2.23,2.42,3.2,2.88,5.24,2.2,3.13,2.11,5.88,2.84,3.77,3.58,6.47,2.9,4.51,4.15,5.54,0.27,3.8
October,,,,,5.35,1.92,3.84,7.62,3.55,4.43,1.66,4.62,3.1,6.16,4.92,1.13,0.69,4.55,6.67,2.08,0.9,5.14,2.78,4.28,1.7,1.75,3.91,3.73,3.37,7.68
November,,,,,7.29,4.68,1.95,6.27,8.53,10.04,2.22,1.56,2.47,6.91,0.51,7.15,2.91,2.26,4.5,8.02,8.94,4.25,2.52,7.63,5.03,0.78,3.71,2.52,5.94,5.01
December,,,,,4.65,4.01,2.14,4.2,3.05,2.24,2.22,3.9,2.5,3.61,6.57,4.05,3.64,5.93,2.46,2.61,3.08,2.66,0.86,3.34,4.66,4.01,3.28,5.27,8.17,4.72
Total,,,,,41.51,37.59,37.02,39.26,39.16,37.95,30.01,35.95,33.86,35.55,34.34,43.22,32.34,44.83,30.78,49.86,44.49,39.27,29.33,46.5,31.63,29.45,38.14,41.74,36.69,48.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read weekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Oct 31 Inspection Gauge sound Measure certified Site satisfactory ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Jan 2 Gauge moved to new site 400yds E Satisfactory site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400yds E means gauge moved from one side of headland to other Elevation similar so NGR taken in middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Herons Green SRC_ID 9582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
