"NOTTINGHAM BASFORD WATERWORKS",,,,,,,,,,,,
Grid ref,SK566428,Long,-1.158476,Lat,52.979566,,,,,,,
Station no,2610,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.62,1.31,1.77,1.74,2.65,0.74,2.90,1.04,1.07,0.97,,
February,3.62,1.21,1.60,1.00,2.54,0.69,2.39,1.49,1.52,0.75,,
March,0.64,1.63,1.39,3.09,1.69,2.27,1.53,1.07,2.84,3.00,,
April,0.84,1.26,1.90,1.21,1.13,1.43,0.37,2.37,2.11,1.19,,
May,1.38,0.90,1.77,3.73,1.80,0.44,1.75,3.16,2.30,1.13,,
June,3.45,1.03,1.67,1.73,0.29,2.62,1.59,2.46,1.79,2.53,,
July,1.92,4.06,1.13,1.85,2.60,1.80,0.52,2.44,2.66,3.43,,
August,4.72,1.45,3.75,5.72,2.52,3.04,1.33,2.22,3.40,2.59,,
September,0.40,1.07,1.11,2.81,1.97,1.11,1.05,0.77,1.56,2.61,,
October,2.06,1.92,2.40,6.12,0.39,1.20,5.16,4.21,1.04,2.74,,
November,2.04,1.74,1.18,1.84,1.24,2.49,2.93,1.83,1.20,0.44,,
December,3.98,4.91,1.56,0.93,1.61,0.62,2.36,2.96,1.47,3.94,,
Total,28.67,22.49,21.23,31.77,20.43,18.45,23.88,26.02,22.96,25.32,,
Calc annual,28.67,22.49,21.23,31.77,20.43,18.45,23.88,26.02,22.96,25.32,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
